src,dst
1343,4230
1344,4230
1345,4230
1346,4230
1347,4230
1348,4230
1349,4230
1350,4230
1351,4234
1352,4234
1353,4228
1354,4230
1355,4230
1356,4230
1357,4230
1358,4230
1359,4236
1360,4236
1361,4236
1362,4230
1363,4230
1364,4230
1365,4230
1366,4242
1367,4242
1368,4237
1369,4237
1370,4237
1371,4256
1372,4256
1373,4256
1374,4256
1375,4256
1376,4256
1377,4256
1378,4256
1379,4256
1380,4256
1381,4256
1382,4256
1383,4256
1384,4256
1385,4256
1386,4230
1387,4251
1388,4251
1389,4243
1390,4243
1391,4243
1392,4234
1393,4245
1394,4245
1395,4256
1396,4256
1397,4256
1398,4256
1399,4256
1400,4230
1401,4230
1402,4237
1403,4251
1404,4251
1405,4251
1406,4235
1407,4235
1408,4235
1409,4236
1410,4228
1411,4235
1412,4235
1413,4228
1414,4251
1415,4228
1416,4251
1417,4235
1418,4235
1419,4228
1420,4235
1421,4251
1422,4251
1423,4251
1424,4228
1425,4235
1426,4228
1427,4251
1428,4228
1429,4228
1430,4235
1431,4235
1432,4235
1433,4235
1434,4228
1435,4235
1436,4251
1437,4228
1438,4251
1439,4228
1440,4251
1441,4236
1442,4228
1443,4228
1444,4228
1445,4230
1446,4238
1447,4251
1448,4251
1449,4261
1450,4255
1451,4255
1452,4244
1453,4241
1454,4246
1455,4244
1456,4251
1457,4246
1458,4256
1459,4256
1460,4254
1461,4261
1462,4261
1463,4261
1464,4229
1465,4252
1466,4243
1467,4256
1468,4257
1469,4229
1470,4262
1471,4233
1472,4235
1473,4226
1474,4240
1475,4235
1476,4251
1477,4230
1478,4242
1479,4256
1480,4256
1481,4242
1482,4242
1483,4242
1484,4242
1485,4242
1486,4230
1487,4242
1488,4242
1489,4256
1490,4242
1491,4256
1492,4242
1493,4256
1494,4251
1495,4235
1496,4251
1497,4242
1498,4257
1499,4257
1500,4265
1501,4242
1502,4257
1503,4241
1504,4244
1505,4256
1506,4256
1507,4256
1508,4258
1509,4261
1510,4258
1511,4261
1512,4256
1513,4258
1514,4258
1515,4258
1516,4256
1517,4256
1518,4256
1519,4258
1520,4258
1521,4261
1522,4258
1523,4260
1524,4258
1525,4258
1526,4260
1527,4227
1528,4258
1529,4258
1530,4258
1531,4227
1532,4261
1533,4254
1534,4237
1535,4261
1536,4227
1537,4260
1538,4260
1539,4261
1540,4227
1541,4260
1542,4258
1543,4227
1544,4260
1545,4258
1546,4227
1547,4227
1548,4268
1549,4268
1550,4268
1551,4268
1552,4268
1553,4268
1554,4268
1555,4268
1556,4268
1557,4268
1558,4268
1559,4268
1560,4268
1561,4268
1562,4268
1563,4258
1564,4253
1565,4255
1566,4255
1567,4255
1568,4233
1569,4253
1570,4232
1571,4258
1572,4258
1573,4258
1574,4255
1575,4261
1576,4258
1577,4261
1578,4242
1579,4265
1580,4251
1581,4241
1582,4251
1583,4235
1584,4227
1585,4258
1586,4227
1587,4227
1588,4227
1589,4226
1590,4251
1591,4252
1592,4252
1593,4252
1594,4228
1595,4251
1596,4228
1597,4251
1598,4228
1599,4252
1600,4252
1601,4251
1602,4251
1603,4228
1604,4252
1605,4252
1606,4255
1607,4255
1608,4255
1609,4225
1610,4225
1611,4225
1612,4225
1613,4225
1614,4225
1615,4225
1616,4256
1617,4260
1618,4260
1619,4248
1620,4256
1621,4256
1622,4256
1623,4248
1624,4261
1625,4248
1626,4248
1627,4256
1628,4248
1629,4256
1630,4248
1631,4228
1632,4251
1633,4228
1634,4235
1635,4235
1636,4228
1637,4251
1638,4235
1639,4241
1640,4247
1641,4247
1642,4247
1643,4260
1644,4250
1645,4258
1646,4247
1647,4247
1648,4250
1649,4272
1650,4261
1651,4253
1652,4261
1653,4258
1654,4240
1655,4235
1656,4262
1657,4237
1658,4242
1659,4260
1660,4246
1661,4242
1662,4246
1663,4230
1664,4242
1665,4246
1666,4242
1667,4257
1668,4245
1669,4255
1670,4245
1671,4245
1672,4226
1673,4253
1674,4258
1675,4258
1676,4258
1677,4238
1678,4257
1679,4238
1680,4238
1681,4238
1682,4253
1683,4258
1684,4253
1685,4242
1686,4258
1687,4253
1688,4238
1689,4255
1690,4252
1691,4252
1692,4250
1693,4256
1694,4259
1695,4254
1696,4246
1697,4230
1698,4242
1699,4242
1700,4256
1701,4256
1702,4256
1703,4246
1704,4246
1705,4246
1706,4230
1707,4246
1708,4230
1709,4246
1710,4246
1711,4246
1712,4246
1713,4246
1714,4246
1715,4246
1716,4246
1717,4230
1718,4246
1719,4246
1720,4246
1721,4256
1722,4246
1723,4246
1724,4246
1725,4246
1726,4256
1727,4254
1728,4270
1729,4254
1730,4254
1731,4254
1732,4235
1733,4257
1734,4241
1735,4237
1736,4244
1737,4270
1738,4251
1739,4227
1740,4256
1741,4254
1742,4271
1743,4254
1744,4254
1745,4271
1746,4271
1747,4271
1748,4254
1749,4254
1750,4254
1751,4271
1752,4225
1753,4254
1754,4225
1755,4271
1756,4225
1757,4254
1758,4254
1759,4271
1760,4254
1761,4254
1762,4271
1763,4271
1764,4225
1765,4271
1766,4271
1767,4261
1768,4271
1769,4225
1770,4225
1771,4254
1772,4271
1773,4256
1774,4256
1775,4256
1776,4258
1777,4256
1778,4254
1779,4270
1780,4270
1781,4248
1782,4270
1783,4270
1784,4270
1785,4256
1786,4235
1787,4268
1788,4251
1789,4235
1790,4268
1791,4235
1792,4228
1793,4228
1794,4273
1795,4232
1796,4250
1797,4267
1798,4251
1799,4257
1800,4241
1801,4250
1802,4226
1803,4271
1804,4226
1805,4235
1806,4268
1807,4227
1808,4270
1809,4263
1810,4262
1811,4272
1812,4273
1813,4268
1814,4245
1815,4248
1816,4263
1817,4255
1818,4233
1819,4254
1820,4226
1821,4257
1822,4268
1823,4272
1824,4247
1825,4260
1826,4230
1827,4249
1828,4249
1829,4247
1830,4234
1831,4245
1832,4249
1833,4256
1834,4257
1835,4245
1836,4254
1837,4252
1838,4263
1839,4250
1840,4272
1841,4252
1842,4262
1843,4244
1844,4245
1845,4241
1846,4266
1847,4270
1848,4258
1849,4259
1850,4262
1851,4248
1852,4230
1853,4256
1854,4232
1855,4261
1856,4232
1857,4232
1858,4269
1859,4251
1860,4239
1861,4257
1862,4255
1863,4259
1864,4245
1865,4257
1866,4226
1867,4259
1868,4264
1869,4254
1870,4247
1871,4247
1872,4267
1873,4233
1874,4228
1875,4261
1876,4233
1877,4240
1878,4266
1879,4263
1880,4271
1881,4272
1882,4238
1883,4245
1884,4251
1885,4240
1886,4262
1887,4271
1888,4255
1889,4227
1890,4233
1891,4256
1892,4255
1893,4257
1894,4273
1895,4273
1896,4246
1897,4245
1898,4271
1899,4249
1900,4241
1901,4232
1902,4267
1903,4249
1904,4250
1905,4254
1906,4255
1907,4268
1908,4228
1909,4232
1910,4254
1911,4270
1912,4227
1913,4259
1914,4247
1915,4229
1916,4227
1917,4238
1918,4249
1919,4254
1920,4237
1921,4241
1922,4239
1923,4241
1924,4237
1925,4234
1926,4244
1927,4265
1928,4262
1929,4255
1930,4249
1931,4262
1932,4258
1933,4226
1934,4269
1935,4241
1936,4234
1937,4241
1938,4225
1939,4229
1940,4239
1941,4230
1942,4262
1943,4266
1944,4264
1945,4262
1946,4274
1947,4243
1948,4257
1949,4251
1950,4264
1951,4271
1952,4270
1953,4255
1954,4259
1955,4257
1956,4273
1957,4273
1958,4235
1959,4259
1960,4273
1961,4239
1962,4226
1963,4252
1964,4241
1965,4229
1966,4238
1967,4257
1968,4257
1969,4250
1970,4261
1971,4240
1972,4269
1973,4243
1974,4239
1975,4266
1976,4261
1977,4265
1978,4269
1979,4272
1980,4244
1981,4257
1982,4252
1983,4270
1984,4272
1985,4271
1986,4271
1987,4271
1988,4237
1989,4258
1990,4226
1991,4270
1992,4271
1993,4268
1994,4271
1995,4226
1996,4263
1997,4226
1998,4270
1999,4247
2000,4256
2001,4267
2002,4255
2003,4271
2004,4239
2005,4241
2006,4244
2007,4247
2008,4256
2009,4247
2010,4273
2011,4256
2012,4230
2013,4245
2014,4229
2015,4259
2016,4244
2017,4253
2018,4262
2019,4268
2020,4261
2021,4248
2022,4251
2023,4270
2024,4271
2025,4251
2026,4235
2027,4235
2028,4260
2029,4243
2030,4227
2031,4266
2032,4271
2033,4256
2034,4233
2035,4240
2036,4257
2037,4233
2038,4237
2039,4252
2040,4251
2041,4249
2042,4242
2043,4247
2044,4229
2045,4239
2046,4233
2047,4246
2048,4228
2049,4263
2050,4262
2051,4238
2052,4247
2053,4260
2054,4234
2055,4242
2056,4239
2057,4249
2058,4225
2059,4268
2060,4235
2061,4227
2062,4267
2063,4245
2064,4239
2065,4244
2066,4255
2067,4253
2068,4257
2069,4241
2070,4243
2071,4264
2072,4241
2073,4232
2074,4257
2075,4230
2076,4257
2077,4251
2078,4225
2079,4237
2080,4225
2081,4245
2082,4245
2083,4250
2084,4256
2085,4272
2086,4266
2087,4256
2088,4234
2089,4232
2090,4271
2091,4245
2092,4245
2093,4253
2094,4266
2095,4238
2096,4238
2097,4258
2098,4268
2099,4227
2100,4256
2101,4273
2102,4258
2103,4253
2104,4230
2105,4268
2106,4240
2107,4254
2108,4267
2109,4226
2110,4240
2111,4246
2112,4257
2113,4233
2114,4269
2115,4256
2116,4268
2117,4250
2118,4232
2119,4267
2120,4269
2121,4269
2122,4253
2123,4268
2124,4265
2125,4226
2126,4252
2127,4248
2128,4240
2129,4229
2130,4268
2131,4242
2132,4270
