src,dst
1343,5108
1344,4868
1345,4311
1347,4311
1349,4311
1351,4976
1352,4976
1353,4941
1354,5495
1355,5495
1356,5495
1357,5496
1358,5496
1359,5579
1360,5579
1361,5579
1362,4275
1363,4275
1364,4275
1365,4867
1366,5108
1367,5108
1368,5440
1369,5744
1370,5578
1371,5494
1372,5495
1377,4868
1378,4868
1379,4311
1380,4311
1383,5496
1389,4976
1390,4976
1393,5108
1395,5109
1396,5109
1398,5110
1399,5110
1400,5111
1401,5578
1403,5579
1404,5579
1405,5579
1410,5580
1411,5580
1414,5580
1415,5580
1422,5016
1423,5016
1424,5016
1426,5016
1428,5016
1434,5017
1435,5017
1436,5017
1437,5017
1438,5017
1440,5017
1445,5977
1446,6256
1447,5258
1448,5258
1449,4275
1451,4867
1452,6396
1453,6396
1454,6396
1455,6396
1458,6409
1459,6409
1460,5440
1461,5744
1463,5956
1464,6223
1465,6223
1467,5977
1468,5977
1469,5977
1470,6440
1471,6440
1472,6440
1474,6440
1476,6256
1478,5494
1481,5494
1482,5494
1484,4868
1487,4311
1488,5496
1493,6582
1494,6582
1495,6582
1496,6582
1497,6582
1498,6582
1499,6582
1502,6582
1503,6582
1504,6582
1505,5108
1509,6409
1513,5110
1514,5110
1515,5110
1519,5743
1520,5743
1521,5743
1522,6154
1523,5440
1524,5956
1525,5111
1529,5577
1530,5577
1531,5577
1540,5578
1541,5578
1542,5578
1548,5579
1549,5579
1550,5579
1551,5579
1552,5579
1553,5580
1555,5580
1558,5016
1562,5017
1564,6680
1566,6680
1569,6680
1571,4275
1572,4275
1573,4867
1576,4867
1578,6885
1579,6885
1580,6885
1583,6885
1585,6885
1586,6885
1590,4941
1592,4941
1601,4941
1606,5108
1607,5108
1608,5108
1609,5109
1610,5109
1611,5109
1612,6409
1613,6409
1615,5576
1616,6154
1619,5440
1620,5111
1621,5111
1625,5111
1629,5577
1630,5578
1631,6980
1635,6980
1636,6980
1639,6223
1641,5977
1643,7108
1644,7108
1645,7108
1646,7108
1647,7108
1648,7108
1649,7109
1651,7109
1653,7110
1655,7111
1656,7111
1657,5994
1658,6256
1660,6256
1664,6256
1665,6256
1667,7225
1668,7225
1669,7225
1671,7225
1672,7237
1674,7237
1675,7237
1676,7237
1678,7237
1679,7237
1681,7237
1689,7289
1690,7289
1691,7290
1692,7290
1693,7291
1694,7291
1695,7291
1696,7331
1697,7331
1700,7331
1701,7331
1703,5494
1704,5495
1705,5495
1707,5495
1710,4868
1713,4868
1715,4868
1719,4311
1722,4311
1723,5496
1725,5496
1727,6582
1731,6396
1742,6885
1745,4941
1753,6409
1760,5110
1761,5110
1766,5743
1772,5743
1778,5576
1779,5744
1780,5956
1784,5578
1786,7367
1791,7367
1794,7109
1795,7109
1797,7109
1798,7433
1799,7433
1800,7433
1801,7433
1802,7110
1803,7434
1804,7434
1807,7435
1808,7435
1809,7435
1810,7435
1811,7435
1812,7435
1817,7435
1820,7435
1821,7435
1822,7436
1823,7436
1824,7436
1825,7436
1829,7437
1830,7437
1831,7438
1832,7438
1834,7438
1836,7439
1837,7439
1838,7439
1850,7440
1851,7440
1852,7440
1853,7440
1854,7440
1855,7440
1856,7440
1857,7440
1859,7440
1860,7440
1864,7441
1865,7441
1866,7441
1867,7441
1868,7441
1871,7441
1874,7441
1876,7442
1877,7442
1878,7442
1880,7442
1881,7442
1899,7443
1900,7443
1901,7443
1902,7443
1903,7443
1904,7443
1905,7443
1906,7443
1907,7443
1909,7443
1911,7444
1921,7445
1922,7445
1923,7445
1924,7445
1925,7445
1926,7445
1927,7445
1928,7446
1929,7446
1930,7446
1931,7446
1932,7446
1933,7446
1935,7446
1937,7446
1942,7447
1944,7447
1946,7111
1947,7449
1949,7449
1950,7449
1953,7450
1954,7451
1955,7451
1956,7451
1957,7451
1958,7451
1962,7452
1963,7452
1966,7452
1967,7453
1968,7453
1969,7453
1981,7453
1985,5994
1986,5994
1987,5994
1993,7225
1994,7225
1999,7577
2002,7577
2003,7577
2004,7577
2005,7577
2006,7577
2009,7577
2017,7578
2018,7579
2019,7579
2020,7579
2021,7579
2024,7579
2025,7579
2033,7580
2034,7580
2035,7580
2036,7580
2037,7580
2038,7580
2039,7580
2040,7580
2041,7580
2042,7581
2043,7581
2044,7581
2045,7581
2046,7581
2047,7581
2049,7581
2050,7582
2051,7582
2052,7582
2053,7582
2054,7582
2055,7582
2058,7582
2059,7289
2060,7289
2061,7289
2062,7289
2067,7290
2068,7290
2070,7290
2071,7584
2072,7584
2073,7584
2074,7584
2075,7584
2077,7584
2078,7584
2080,7584
2082,7584
2089,7584
2091,7585
2092,7585
2093,7585
2096,7586
2097,7586
2099,7586
2101,7586
2104,7586
2105,7586
2113,7587
2114,7587
2117,7587
2118,7587
2119,7587
2120,7588
2121,7588
2122,7588
2123,7588
2124,7588
2125,7588
2126,7588
2127,7588
2128,7588
2129,7588
2130,7588
2132,7588
