src,dst
3825,4238
3825,4251
3825,4257
3826,4230
3826,4255
3826,4258
3826,4261
3827,4230
3827,4242
3827,4246
3827,4256
3828,4238
3828,4251
3828,4257
3829,4238
3829,4251
3829,4257
3830,4234
3830,4243
3830,4251
3831,4243
3831,4251
3832,4226
3832,4227
3832,4235
3832,4237
3832,4241
3832,4242
3832,4244
3832,4246
3832,4251
3832,4254
3832,4256
3832,4257
3832,4258
3832,4260
3832,4265
3832,4270
3832,4271
3833,4226
3833,4227
3833,4235
3833,4241
3833,4242
3833,4246
3833,4251
3833,4254
3833,4256
3833,4257
3833,4258
3833,4265
3833,4270
3834,4237
3834,4241
3834,4246
3834,4251
3834,4254
3834,4256
3834,4260
3834,4265
3834,4270
3834,4271
3835,4238
3835,4251
3835,4257
3836,4238
3836,4257
3837,4238
3837,4257
3838,4251
3838,4257
3839,4243
3839,4251
3840,4243
3840,4251
3841,4226
3841,4227
3841,4235
3841,4237
3841,4241
3841,4242
3841,4246
3841,4256
3841,4258
3841,4260
3841,4265
3841,4270
3842,4226
3842,4227
3842,4241
3842,4244
3842,4246
3842,4254
3842,4256
3842,4258
3842,4265
3842,4270
3842,4271
3843,4226
3843,4235
3843,4237
3843,4241
3843,4242
3843,4246
3843,4251
3843,4254
3843,4256
3843,4260
3843,4271
3844,4227
3844,4242
3844,4246
3844,4254
3844,4256
3844,4257
3844,4260
3844,4270
3844,4271
3845,4227
3845,4235
3845,4241
3845,4242
3845,4251
3845,4254
3845,4257
3845,4260
3845,4270
3845,4271
3849,4251
3850,4243
3850,4251
3851,4243
3852,4226
3852,4227
3852,4235
3852,4237
3852,4241
3852,4246
3852,4251
3852,4254
3852,4256
3852,4257
3852,4258
3852,4270
3852,4271
3853,4226
3853,4237
3853,4241
3853,4242
3853,4246
3853,4251
3853,4254
3853,4256
3853,4257
3853,4258
3853,4270
3853,4271
3854,4226
3854,4227
3854,4235
3854,4237
3854,4241
3854,4242
3854,4244
3854,4246
3854,4254
3854,4257
3854,4265
3854,4270
3854,4271
3865,4256
3866,4256
3867,4251
3867,4257
3868,4251
3869,4243
3869,4251
3870,4243
3870,4251
3871,4243
3871,4251
3872,4226
3872,4235
3872,4242
3872,4244
3872,4246
3872,4251
3872,4254
3872,4256
3872,4258
3872,4265
3872,4271
3873,4226
3873,4235
3873,4237
3873,4242
3873,4246
3873,4251
3873,4256
3873,4257
3873,4258
3887,4256
3890,4228
3890,4251
3890,4252
3890,4271
3891,4230
3891,4243
3892,4238
3892,4243
3892,4247
3892,4251
3892,4256
3893,4238
3893,4257
3894,4238
3894,4257
3895,4251
3895,4257
3896,4238
3896,4251
3896,4257
3897,4226
3897,4227
3897,4235
3897,4242
3897,4244
3897,4246
3897,4251
3897,4254
3897,4256
3897,4260
3897,4270
3897,4271
3906,4256
3907,4230
3907,4242
3907,4245
3907,4255
3907,4256
3908,4225
3908,4236
3908,4254
3908,4256
3908,4258
3908,4261
3908,4271
3911,4238
3911,4251
3911,4257
3912,4238
3912,4257
3913,4238
3913,4251
3913,4257
3914,4243
3914,4251
3915,4243
3916,4243
3916,4251
3917,4226
3917,4227
3917,4235
3917,4237
3917,4241
3917,4242
3917,4246
3917,4254
3917,4258
3917,4260
3917,4265
3917,4270
3918,4230
3918,4251
3919,4227
3919,4230
3919,4237
3919,4248
3919,4254
3919,4256
3919,4258
3919,4260
3919,4261
3919,4270
3920,4228
3920,4229
3920,4235
3920,4236
3920,4251
3920,4268
3921,4238
3921,4251
3921,4257
3922,4238
3922,4257
3923,4238
3923,4251
3924,4243
3925,4251
3926,4243
3926,4251
3927,4243
3928,4228
3928,4251
3928,4252
3929,4228
3929,4251
3929,4252
3929,4271
3930,4230
3932,4230
3933,4230
3935,4238
3935,4257
3936,4243
3936,4251
3937,4251
3938,4226
3938,4227
3938,4235
3938,4242
3938,4251
3938,4256
3938,4258
3938,4260
3938,4270
3938,4271
3939,4226
3939,4227
3939,4235
3939,4241
3939,4256
3939,4258
3939,4260
3939,4265
3939,4270
3939,4271
3940,4227
3940,4235
3940,4241
3940,4242
3940,4244
3940,4246
3940,4251
3940,4258
3940,4270
3940,4271
3941,4251
3941,4271
3942,4228
3942,4251
3942,4252
3943,4228
3943,4251
3943,4271
3944,4230
3945,4230
3946,4230
3947,4230
3948,4230
3949,4237
3949,4258
3950,4227
3950,4230
3950,4256
3951,4230
3951,4256
3952,4238
3952,4251
3953,4238
3953,4251
3953,4257
3954,4238
3954,4251
3954,4257
3955,4238
3955,4257
3956,4243
3956,4251
3957,4251
3958,4243
3958,4251
3959,4226
3959,4227
3959,4241
3959,4244
3959,4246
3959,4254
3959,4257
3959,4270
3959,4271
3960,4226
3960,4235
3960,4237
3960,4241
3960,4242
3960,4244
3960,4246
3960,4254
3960,4256
3960,4257
3960,4265
3960,4270
3960,4271
3961,4256
3962,4256
3963,4256
3964,4256
3965,4271
3966,4228
3966,4251
3966,4252
3966,4271
3967,4228
3967,4271
3968,4251
3968,4252
3969,4227
3969,4230
3969,4256
3970,4230
3970,4256
3971,4236
3971,4251
3972,4242
3973,4251
3973,4257
3974,4238
3974,4251
3975,4243
3975,4251
3976,4226
3976,4227
3976,4241
3976,4242
3976,4244
3976,4246
3976,4251
3976,4254
3976,4265
3976,4270
3976,4271
3977,4227
3977,4237
3977,4241
3977,4242
3977,4244
3977,4246
3977,4254
3977,4256
3977,4260
3977,4265
3977,4270
3977,4271
3978,4226
3978,4227
3978,4235
3978,4237
3978,4241
3978,4244
3978,4246
3978,4251
3978,4260
3978,4265
3978,4270
3978,4271
3979,4256
3981,4228
3981,4251
3981,4271
3982,4251
3984,4227
3984,4256
3986,4227
3986,4230
3986,4256
3990,4251
3991,4251
3992,4238
3992,4251
3992,4257
3993,4243
3993,4251
3994,4226
3994,4227
3994,4235
3994,4237
3994,4241
3994,4242
3994,4244
3994,4251
3994,4256
3994,4257
3994,4258
3994,4270
3994,4271
3995,4256
3996,4256
3997,4251
3997,4252
3997,4271
3998,4271
3999,4228
3999,4251
3999,4252
3999,4271
4000,4228
4000,4251
4000,4252
4000,4271
4001,4228
4001,4252
4003,4230
4004,4227
4004,4230
4004,4256
4006,4251
4008,4225
4008,4228
4008,4229
4008,4230
4008,4234
4008,4236
4008,4241
4008,4243
4008,4247
4008,4250
4008,4252
4008,4256
4008,4257
4008,4258
4008,4260
4008,4269
4009,4234
4009,4251
4010,4234
4010,4251
4011,4234
4011,4251
4012,4234
4013,4234
4013,4251
4014,4234
4015,4238
4016,4243
4017,4226
4017,4227
4017,4235
4017,4237
4017,4241
4017,4242
4017,4244
4017,4251
4017,4254
4017,4256
4017,4257
4017,4258
4017,4265
4017,4270
4017,4271
4018,4226
4018,4227
4018,4235
4018,4237
4018,4241
4018,4242
4018,4246
4018,4251
4018,4257
4018,4270
4018,4271
4019,4256
4020,4256
4021,4228
4021,4252
4021,4271
4022,4251
4023,4251
4023,4252
4023,4271
4024,4228
4024,4251
4024,4252
4024,4271
4026,4230
4027,4227
4027,4230
4027,4256
4029,4251
4031,4251
4032,4261
4033,4230
4033,4238
4033,4242
4033,4258
4033,4261
4034,4226
4034,4237
4034,4258
4034,4271
4035,4227
4035,4230
4035,4232
4035,4236
4035,4237
4035,4238
4035,4242
4035,4246
4035,4251
4035,4260
4035,4265
4035,4270
4035,4271
4036,4230
4036,4232
4036,4237
4036,4238
4036,4242
4036,4265
4036,4270
4037,4227
4037,4230
4037,4232
4037,4236
4037,4237
4037,4238
4037,4242
4037,4246
4037,4251
4037,4260
4037,4265
4037,4270
4037,4271
4038,4225
4038,4230
4038,4251
4038,4258
4038,4261
4039,4238
4039,4257
4040,4238
4040,4257
4041,4238
4041,4257
4042,4257
4043,4251
4044,4243
4045,4226
4045,4227
4045,4235
4045,4237
4045,4242
4045,4251
4045,4254
4045,4256
4045,4260
4045,4265
4045,4270
4045,4271
4046,4226
4046,4227
4046,4235
4046,4237
4046,4241
4046,4244
4046,4254
4046,4256
4046,4257
4046,4258
4046,4260
4046,4265
4046,4270
4046,4271
4047,4226
4047,4227
4047,4237
4047,4241
4047,4242
4047,4244
4047,4246
4047,4254
4047,4256
4047,4257
4047,4260
4047,4265
4047,4270
4047,4271
4048,4226
4048,4227
4048,4235
4048,4237
4048,4241
4048,4242
4048,4244
4048,4246
4048,4251
4048,4256
4048,4257
4048,4258
4048,4260
4048,4265
4048,4270
4048,4271
4049,4256
4050,4256
4051,4256
4053,4228
4053,4251
4053,4252
4053,4271
4054,4251
4054,4271
4055,4228
4055,4252
4057,4230
4058,4227
4058,4230
4058,4256
4059,4227
4062,4251
4063,4251
4064,4226
4064,4233
4064,4234
4064,4235
4064,4239
4064,4240
4064,4243
4064,4251
4064,4255
4064,4257
4064,4259
4064,4262
4064,4264
4064,4266
4064,4268
4064,4270
4064,4271
4064,4273
4064,4274
4065,4234
4066,4237
4066,4271
4067,4237
4067,4258
4068,4226
4068,4237
4068,4258
4068,4271
4069,4225
4070,4230
4070,4251
4071,4225
4071,4251
4071,4258
4072,4226
4072,4230
4072,4238
4072,4242
4072,4245
4072,4251
4072,4254
4072,4255
4072,4257
4072,4261
4072,4263
4072,4264
4072,4268
4072,4271
4073,4226
4073,4230
4073,4238
4073,4242
4073,4251
4073,4257
4073,4261
4073,4263
4074,4226
4074,4238
4074,4242
4074,4245
4074,4254
4074,4255
4074,4257
4074,4261
4074,4263
4074,4264
4074,4271
4075,4271
4076,4230
4076,4242
4076,4251
4076,4256
4077,4226
4077,4238
4077,4242
4077,4253
4077,4254
4077,4257
4077,4258
4077,4270
4079,4258
4080,4238
4080,4251
4081,4257
4082,4243
4082,4251
4083,4243
4083,4251
4084,4243
4085,4243
4085,4251
4086,4256
4087,4228
4087,4251
4087,4252
4087,4271
4088,4227
4088,4256
4089,4227
4089,4230
4089,4256
4091,4251
4092,4225
4092,4226
4092,4227
4092,4228
4092,4229
4092,4230
4092,4232
4092,4233
4092,4234
4092,4235
4092,4237
4092,4238
4092,4239
4092,4240
4092,4241
4092,4242
4092,4243
4092,4244
4092,4245
4092,4246
4092,4247
4092,4248
4092,4249
4092,4250
4092,4251
4092,4252
4092,4253
4092,4254
4092,4255
4092,4256
4092,4257
4092,4258
4092,4259
4092,4260
4092,4261
4092,4262
4092,4263
4092,4264
4092,4265
4092,4266
4092,4267
4092,4268
4092,4269
4092,4270
4092,4271
4092,4272
4092,4273
4092,4274
4093,4234
4093,4251
4094,4226
4094,4237
4094,4258
4094,4271
4095,4271
4096,4227
4096,4230
4096,4232
4096,4237
4096,4238
4096,4242
4096,4246
4096,4251
4096,4260
4096,4265
4096,4270
4096,4271
4097,4230
4097,4232
4097,4237
4097,4238
4097,4242
4097,4251
4097,4260
4097,4265
4097,4270
4098,4227
4098,4232
4098,4238
4098,4242
4098,4251
4098,4260
4098,4270
4098,4271
4099,4230
4099,4232
4099,4237
4099,4238
4099,4242
4099,4265
4099,4271
4100,4225
4100,4230
4101,4226
4101,4230
4101,4242
4101,4245
4101,4251
4101,4254
4101,4255
4101,4257
4101,4261
4101,4263
4101,4264
4101,4268
4101,4271
4102,4226
4102,4238
4102,4242
