src,dst
3825,4225
3826,4226
3827,4227
3828,4225
3829,4225
3830,4228
3831,4229
3832,4230
3833,4230
3834,4230
3835,4225
3836,4225
3837,4225
3838,4225
3839,4229
3840,4229
3841,4230
3842,4230
3843,4230
3844,4230
3845,4230
3846,4231
3847,4231
3848,4231
3849,4229
3850,4229
3851,4229
3852,4230
3853,4230
3854,4230
3855,4231
3856,4231
3857,4231
3858,4231
3859,4231
3860,4231
3861,4231
3862,4231
3863,4231
3864,4231
3865,4232
3866,4232
3867,4225
3868,4225
3869,4229
3870,4229
3871,4229
3872,4230
3873,4230
3874,4231
3875,4231
3876,4231
3877,4231
3878,4231
3879,4231
3880,4231
3881,4231
3882,4231
3883,4231
3884,4231
3885,4232
3886,4232
3887,4232
3888,4232
3889,4233
3890,4234
3891,4235
3892,4236
3893,4225
3894,4225
3895,4225
3896,4225
3897,4230
3898,4231
3899,4231
3900,4231
3901,4231
3902,4231
3903,4231
3904,4231
3905,4231
3906,4232
3907,4237
3908,4238
3909,4239
3910,4240
3911,4225
3912,4225
3913,4225
3914,4229
3915,4229
3916,4229
3917,4230
3918,4241
3919,4242
3920,4243
3921,4225
3922,4225
3923,4225
3924,4229
3925,4229
3926,4229
3927,4229
3928,4234
3929,4234
3930,4244
3931,4244
3932,4244
3933,4244
3934,4244
3935,4225
3936,4229
3937,4229
3938,4230
3939,4230
3940,4230
3941,4234
3942,4234
3943,4234
3944,4244
3945,4244
3946,4244
3947,4244
3948,4244
3949,4245
3950,4246
3951,4246
3952,4225
3953,4225
3954,4225
3955,4225
3956,4229
3957,4229
3958,4229
3959,4230
3960,4230
3961,4232
3962,4232
3963,4232
3964,4232
3965,4234
3966,4234
3967,4234
3968,4234
3969,4246
3970,4246
3971,4247
3972,4248
3973,4225
3974,4225
3975,4229
3976,4230
3977,4230
3978,4230
3979,4232
3980,4232
3981,4234
3982,4234
3983,4244
3984,4246
3985,4246
3986,4246
3987,4249
3988,4249
3989,4249
3990,4250
3991,4250
3992,4225
3993,4229
3994,4230
3995,4232
3996,4232
3997,4234
3998,4234
3999,4234
4000,4234
4001,4234
4002,4244
4003,4244
4004,4246
4005,4249
4006,4250
4007,4250
4008,4251
4009,4252
4010,4252
4011,4252
4012,4252
4013,4252
4014,4252
4015,4225
4016,4229
4017,4230
4018,4230
4019,4232
4020,4232
4021,4234
4022,4234
4023,4234
4024,4234
4025,4244
4026,4244
4027,4246
4028,4249
4029,4250
4030,4250
4031,4252
4032,4253
4033,4254
4034,4255
4035,4256
4036,4256
4037,4256
4038,4257
4039,4225
4040,4225
4041,4225
4042,4225
4043,4229
4044,4229
4045,4230
4046,4230
4047,4230
4048,4230
4049,4232
4050,4232
4051,4232
4052,4232
4053,4234
4054,4234
4055,4234
4056,4244
4057,4244
4058,4246
4059,4246
4060,4249
4061,4249
4062,4250
4063,4250
4064,4252
4065,4252
4066,4255
4067,4255
4068,4255
4069,4257
4070,4257
4071,4257
4072,4258
4073,4258
4074,4258
4075,4259
4076,4260
4077,4261
4078,4262
4079,4263
4080,4225
4081,4225
4082,4229
4083,4229
4084,4229
4085,4229
4086,4232
4087,4234
4088,4246
4089,4246
4090,4249
4091,4250
4092,4252
4093,4252
4094,4255
4095,4255
4096,4256
4097,4256
4098,4256
4099,4256
4100,4257
4101,4258
4102,4258
4103,4258
4104,4264
4105,4264
4106,4265
4107,4225
4108,4225
4109,4229
4110,4230
4111,4230
4112,4232
4113,4244
4114,4244
4115,4246
4116,4246
4117,4246
4118,4246
4119,4250
4120,4252
4121,4252
4122,4252
4123,4252
4124,4256
4125,4256
4126,4256
4127,4256
4128,4257
4129,4257
4130,4258
4131,4264
4132,4265
4133,4265
4134,4265
4135,4265
4136,4266
4137,4267
4138,4267
4139,4267
4140,4268
4141,4225
4142,4229
4143,4229
4144,4230
4145,4232
4146,4232
4147,4232
4148,4232
4149,4234
4150,4244
4151,4244
4152,4244
4153,4246
4154,4246
4155,4249
4156,4249
4157,4249
4158,4249
4159,4250
4160,4250
4161,4250
4162,4250
4163,4252
4164,4252
4165,4255
4166,4255
4167,4255
4168,4255
4169,4256
4170,4257
4171,4257
4172,4257
4173,4257
4174,4258
4175,4258
4176,4264
4177,4264
4178,4265
4179,4267
4180,4268
4181,4268
4182,4268
4183,4268
4184,4268
4185,4269
4186,4270
4187,4271
4188,4272
4189,4272
4190,4230
4191,4232
4192,4232
4193,4232
4194,4234
4195,4244
4196,4246
4197,4246
4198,4249
4199,4249
4200,4249
4201,4249
4202,4250
4203,4252
4204,4255
4205,4255
4206,4258
4207,4264
4208,4264
4209,4265
4210,4266
4211,4266
4212,4266
4213,4267
4214,4268
4215,4268
4216,4268
4217,4269
4218,4269
4219,4269
4220,4270
4221,4272
4222,4272
4223,4273
4224,4274
