src,dst
3825,7799
3825,7950
3825,8244
3825,8439
3825,8441
3825,8442
3825,8443
3825,8464
3825,8691
3825,9281
3825,9420
3825,9423
3825,9657
3825,9661
3825,9668
3825,9691
3825,9698
3825,9705
3825,9727
3825,9734
3825,10454
3825,10457
3825,10484
3825,10485
3825,10486
3825,10525
3825,10530
3825,10568
3825,10598
3825,10602
3825,10659
3825,10680
3825,10695
3825,10701
3825,10703
3825,10704
3825,12723
3825,12816
3825,12823
3825,14423
3825,14547
3825,14651
3825,14808
3825,15167
3825,15177
3825,15885
3825,16032
3825,18372
3825,18585
3825,19175
3825,19242
3826,12503
3827,7943
3827,8437
3827,8456
3827,8461
3827,8703
3827,9423
3827,9600
3827,9647
3827,9691
3827,9718
3827,10449
3827,10482
3827,10623
3827,10693
3827,10703
3827,10735
3827,10756
3827,12723
3827,12745
3827,13105
3827,13323
3827,13793
3827,14028
3827,14029
3827,14205
3827,16758
3827,19405
3828,18585
3829,10598
3830,7725
3830,9783
3830,10771
3830,15067
3830,16396
3831,7663
3831,8849
3831,9336
3831,10445
3831,10466
3831,10591
3831,10732
3831,10774
3831,13396
3831,13413
3831,15803
3832,8118
3832,8466
3832,9328
3832,9330
3832,9645
3832,9653
3832,9671
3832,9726
3832,10445
3832,10448
3832,10454
3832,10558
3832,10589
3832,10613
3832,10628
3832,10629
3832,10733
3832,12775
3832,12830
3832,12843
3832,14636
3832,16542
3832,17949
3833,10454
3834,8466
3835,9420
3836,19242
3837,18585
3838,10680
3839,7663
3840,10445
3841,10558
3842,8118
3843,9328
3844,8466
3845,8118
3846,7720
3847,7720
3848,7720
3849,15803
3850,13413
3851,10732
3852,10628
3853,8466
3854,10628
3855,7720
3856,7720
3857,7720
3858,7720
3859,7720
3860,7720
3861,7720
3862,7720
3863,7720
3864,7720
3865,8860
3865,9166
3865,9192
3865,9193
3865,9652
3865,9653
3865,9765
3865,10455
3865,14093
3866,9192
3867,9668
3868,9661
3869,10774
3870,10774
3871,10445
3872,9726
3873,10629
3874,7720
3875,7720
3876,7720
3877,7720
3878,7720
3879,7720
3880,7720
3881,7720
3882,7720
3883,7720
3884,7720
3885,9192
3886,14093
3887,9765
3888,9193
3889,9226
3890,7666
3890,7866
3890,8243
3890,8833
3890,8840
3890,8845
3890,8866
3890,9570
3890,9644
3890,9647
3890,9649
3890,9683
3890,16718
3890,16762
3890,16848
3890,18907
3890,19037
3891,7660
3891,7668
3891,7721
3891,7799
3891,8204
3891,8226
3891,8242
3891,8253
3891,8442
3891,8638
3891,8834
3891,8846
3891,8858
3891,9165
3891,9207
3891,9275
3891,9332
3891,9420
3891,9570
3891,9648
3891,9654
3891,9661
3891,9664
3891,9666
3891,9680
3891,9757
3891,9775
3891,10446
3891,10453
3891,10459
3891,10472
3891,10497
3891,10503
3891,10511
3891,10550
3891,10586
3891,10634
3891,10643
3891,10660
3891,10661
3891,10689
3891,10706
3891,10710
3891,10721
3891,10737
3891,10739
3891,12507
3891,12775
3891,12802
3891,12852
3891,14025
3891,14028
3891,14029
3891,14593
3891,14614
3891,14692
3891,14769
3891,14995
3891,15205
3891,15230
3891,15232
3891,15261
3891,15790
3891,15814
3891,16163
3891,16476
3891,16522
3891,16684
3891,16855
3891,16953
3891,16993
3891,17139
3891,19036
3891,19068
3891,19134
3891,21035
3891,21395
3891,21478
3891,22299
3892,9070
3892,9331
3892,10440
3892,10578
3892,12844
3892,14610
3892,16869
3892,22869
3893,12816
3894,8691
3895,18585
3896,9661
3897,10445
3898,7720
3899,7720
3900,7720
3901,7720
3902,7720
3903,7720
3904,7720
3905,7720
3906,9166
3907,8121
3907,8252
3907,8684
3907,8855
3907,9208
3907,9645
3907,9648
3907,9694
3907,9727
3907,10442
3907,12777
3907,12784
3907,12807
3907,15263
3907,20798
3908,8130
3908,8248
3908,8258
3908,8458
3908,8465
3908,8634
3908,8691
3908,8834
3908,8843
3908,9187
3908,9304
3908,9336
3908,9424
3908,9644
3908,9646
3908,9649
3908,9657
3908,9658
3908,9704
3908,9710
3908,10465
3908,10468
3908,10560
3908,10654
3908,10660
3908,10661
3908,10740
3908,12504
3908,12509
3908,12723
3908,12727
3908,12836
3908,12843
3908,13760
3908,14054
3908,14150
3908,14622
3908,15167
3908,15182
3908,15242
3908,15254
3908,15270
3908,16762
3908,16804
3908,16979
3908,18611
3908,19048
3908,19232
3908,20467
3908,20817
3908,21503
3908,21530
3909,7669
3909,7799
3909,7806
3909,8076
3909,8132
3909,8236
3909,8238
3909,8245
3909,8434
3909,8438
3909,8439
3909,8635
3909,8638
3909,8830
3909,8832
3909,8841
3909,9100
3909,9333
3909,9649
3909,9663
3909,9665
3909,9670
3909,9689
3909,9701
3909,9703
3909,9716
3909,9718
3909,9740
3909,9748
3909,9766
3909,9767
3909,10441
3909,10446
3909,10452
3909,10454
3909,10458
3909,10461
3909,10469
3909,10470
3909,10483
3909,10504
3909,10509
3909,10514
3909,10524
3909,10531
3909,10549
3909,10565
3909,10567
3909,10590
3909,10598
3909,10646
3909,10657
3909,10669
3909,10683
3909,10684
3909,10688
3909,10707
3909,10713
3909,12738
3909,13109
3909,14065
3909,14109
3909,14283
3909,14649
3909,14691
3909,14872
3909,15056
3909,15169
3909,15174
3909,15257
3909,16718
3909,16801
3909,16869
3909,16904
3909,19956
3909,21456
3909,21476
3910,8250
3910,8437
3910,9407
3910,10563
3910,14043
3910,17170
3911,8691
3912,10659
3913,8441
3914,13396
3915,13413
3916,15803
3917,14636
3918,7944
3918,8445
3918,9035
3918,9651
3918,9667
3918,10442
3918,10466
3918,10469
3918,10474
3918,10485
3918,10508
3918,10529
3918,10544
3918,10559
3918,10611
3918,10639
3918,10647
3918,10649
3918,10678
3918,10696
3918,10729
3918,10749
3918,10763
3918,10768
3918,12838
3918,13077
3918,13116
3918,13258
3918,13333
3918,13426
3918,13454
3918,13546
3918,13607
3918,13710
3918,14021
3918,14023
3918,14100
3918,14400
3918,14477
3918,14591
3918,14612
3918,14622
3918,15146
3918,15172
3918,15182
3918,15232
3918,15795
3918,15798
3918,15958
3918,16002
3918,16863
3918,17093
3918,17901
3918,18895
3918,18896
3918,19579
3918,20104
3918,20306
3918,20636
3918,20823
3918,21435
3918,22013
3918,22696
3919,7799
3919,7800
3919,7801
3919,7856
3919,7952
3919,7955
3919,8231
3919,8235
3919,8438
3919,8441
3919,8443
3919,8459
3919,8685
3919,8830
3919,8839
3919,9111
3919,9205
3919,9347
3919,9644
3919,9662
3919,9677
3919,9683
3919,9700
3919,9709
3919,9732
3919,9737
3919,9750
3919,9754
3919,9767
3919,10438
3919,10442
3919,10443
3919,10445
3919,10454
3919,10457
3919,10470
3919,10473
3919,10477
3919,10483
3919,10496
3919,10511
3919,10530
3919,10531
3919,10545
3919,10564
3919,10587
3919,10619
3919,10651
3919,10660
3919,10684
3919,10700
3919,10713
3919,10715
3919,10726
3919,10740
3919,12792
3919,12850
3919,13413
3919,14054
3919,14332
3919,14400
3919,14551
3919,14912
3919,15182
3919,15243
3919,15707
3919,16723
3919,16970
3919,17369
3919,21478
3920,7660
3920,7806
3920,7945
3920,7950
3920,7956
3920,9277
3920,9304
3920,9332
3920,9650
3920,9677
3920,10442
3920,10446
3920,10448
3920,10450
3920,10553
3920,10622
3920,10657
3920,10673
3920,10709
3920,10736
3920,12856
3920,14685
3920,16755
3920,16921
3921,9734
3922,14547
3923,9668
3924,10445
3925,10466
3926,15803
3927,7663
3928,8833
3929,8840
3930,7668
3930,8435
3930,9409
3930,9653
3930,9671
3930,9691
3930,9696
3930,9700
3930,9703
3930,9713
3930,9719
3930,9720
3930,9736
