src,dst
4225,7799
4225,7950
4225,8244
4225,8439
4225,8441
4225,8442
4225,8443
4225,8464
4225,8691
4225,9281
4225,9420
4225,9423
4225,9657
4225,9661
4225,9668
4225,9691
4225,9698
4225,9705
4225,9727
4225,9734
4225,10454
4225,10457
4225,10484
4225,10485
4225,10486
4225,10525
4225,10530
4225,10568
4225,10598
4225,10602
4225,10659
4225,10680
4225,10695
4225,10701
4225,10703
4225,10704
4225,12723
4225,12816
4225,12823
4225,14423
4225,14547
4225,14651
4225,14808
4225,15167
4225,15177
4225,15885
4225,16032
4225,18372
4225,18585
4225,19175
4225,19242
4226,12503
4227,7943
4227,8437
4227,8456
4227,8461
4227,8703
4227,9423
4227,9600
4227,9647
4227,9691
4227,9718
4227,10449
4227,10482
4227,10623
4227,10693
4227,10703
4227,10735
4227,10756
4227,12723
4227,12745
4227,13105
4227,13323
4227,13793
4227,14028
4227,14029
4227,14205
4227,16758
4227,19405
4228,7725
4228,9783
4228,10771
4228,15067
4228,16396
4229,7663
4229,8849
4229,9336
4229,10445
4229,10466
4229,10591
4229,10732
4229,10774
4229,13396
4229,13413
4229,15803
4230,8118
4230,8466
4230,9328
4230,9330
4230,9645
4230,9653
4230,9671
4230,9726
4230,10445
4230,10448
4230,10454
4230,10558
4230,10589
4230,10613
4230,10628
4230,10629
4230,10733
4230,12775
4230,12830
4230,12843
4230,14636
4230,16542
4230,17949
4231,7720
4232,8860
4232,9166
4232,9192
4232,9193
4232,9652
4232,9653
4232,9765
4232,10455
4232,14093
4233,9226
4234,7666
4234,7866
4234,8243
4234,8833
4234,8840
4234,8845
4234,8866
4234,9570
4234,9644
4234,9647
4234,9649
4234,9683
4234,16718
4234,16762
4234,16848
4234,18907
4234,19037
4235,7660
4235,7668
4235,7721
4235,7799
4235,8204
4235,8226
4235,8242
4235,8253
4235,8442
4235,8638
4235,8834
4235,8846
4235,8858
4235,9165
4235,9207
4235,9275
4235,9332
4235,9420
4235,9570
4235,9648
4235,9654
4235,9661
4235,9664
4235,9666
4235,9680
4235,9757
4235,9775
4235,10446
4235,10453
4235,10459
4235,10472
4235,10497
4235,10503
4235,10511
4235,10550
4235,10586
4235,10634
4235,10643
4235,10660
4235,10661
4235,10689
4235,10706
4235,10710
4235,10721
4235,10737
4235,10739
4235,12507
4235,12775
4235,12802
4235,12852
4235,14025
4235,14028
4235,14029
4235,14593
4235,14614
4235,14692
4235,14769
4235,14995
4235,15205
4235,15230
4235,15232
4235,15261
4235,15790
4235,15814
4235,16163
4235,16476
4235,16522
4235,16684
4235,16855
4235,16953
4235,16993
4235,17139
4235,19036
4235,19068
4235,19134
4235,21035
4235,21395
4235,21478
4235,22299
4236,9070
4236,9331
4236,10440
4236,10578
4236,12844
4236,14610
4236,16869
4236,22869
4237,8121
4237,8252
4237,8684
4237,8855
4237,9208
4237,9645
4237,9648
4237,9694
4237,9727
4237,10442
4237,12777
4237,12784
4237,12807
4237,15263
4237,20798
4238,8130
4238,8248
4238,8258
4238,8458
4238,8465
4238,8634
4238,8691
4238,8834
4238,8843
4238,9187
4238,9304
4238,9336
4238,9424
4238,9644
4238,9646
4238,9649
4238,9657
4238,9658
4238,9704
4238,9710
4238,10465
4238,10468
4238,10560
4238,10654
4238,10660
4238,10661
4238,10740
4238,12504
4238,12509
4238,12723
4238,12727
4238,12836
4238,12843
4238,13760
4238,14054
4238,14150
4238,14622
4238,15167
4238,15182
4238,15242
4238,15254
4238,15270
4238,16762
4238,16804
4238,16979
4238,18611
4238,19048
4238,19232
4238,20467
4238,20817
4238,21503
4238,21530
4239,7669
4239,7799
4239,7806
4239,8076
4239,8132
4239,8236
4239,8238
4239,8245
4239,8434
4239,8438
4239,8439
4239,8635
4239,8638
4239,8830
4239,8832
4239,8841
4239,9100
4239,9333
4239,9649
4239,9663
4239,9665
4239,9670
4239,9689
4239,9701
4239,9703
4239,9716
4239,9718
4239,9740
4239,9748
4239,9766
4239,9767
4239,10441
4239,10446
4239,10452
4239,10454
4239,10458
4239,10461
4239,10469
4239,10470
4239,10483
4239,10504
4239,10509
4239,10514
4239,10524
4239,10531
4239,10549
4239,10565
4239,10567
4239,10590
4239,10598
4239,10646
4239,10657
4239,10669
4239,10683
4239,10684
4239,10688
4239,10707
4239,10713
4239,12738
4239,13109
4239,14065
4239,14109
4239,14283
4239,14649
4239,14691
4239,14872
4239,15056
4239,15169
4239,15174
4239,15257
4239,16718
4239,16801
4239,16869
4239,16904
4239,19956
4239,21456
4239,21476
4240,8250
4240,8437
4240,9407
4240,10563
4240,14043
4240,17170
4241,7944
4241,8445
4241,9035
4241,9651
4241,9667
4241,10442
4241,10466
4241,10469
4241,10474
4241,10485
4241,10508
4241,10529
4241,10544
4241,10559
4241,10611
4241,10639
4241,10647
4241,10649
4241,10678
4241,10696
4241,10729
4241,10749
4241,10763
4241,10768
4241,12838
4241,13077
4241,13116
4241,13258
4241,13333
4241,13426
4241,13454
4241,13546
4241,13607
4241,13710
4241,14021
4241,14023
4241,14100
4241,14400
4241,14477
4241,14591
4241,14612
4241,14622
4241,15146
4241,15172
4241,15182
4241,15232
4241,15795
4241,15798
4241,15958
4241,16002
4241,16863
4241,17093
4241,17901
4241,18895
4241,18896
4241,19579
4241,20104
4241,20306
4241,20636
4241,20823
4241,21435
4241,22013
4241,22696
4242,7799
4242,7800
4242,7801
4242,7856
4242,7952
4242,7955
4242,8231
4242,8235
4242,8438
4242,8441
4242,8443
4242,8459
4242,8685
4242,8830
4242,8839
4242,9111
4242,9205
4242,9347
4242,9644
4242,9662
4242,9677
4242,9683
4242,9700
4242,9709
4242,9732
4242,9737
4242,9750
4242,9754
4242,9767
4242,10438
4242,10442
4242,10443
4242,10445
4242,10454
4242,10457
4242,10470
4242,10473
4242,10477
4242,10483
4242,10496
4242,10511
4242,10530
4242,10531
4242,10545
4242,10564
4242,10587
4242,10619
4242,10651
4242,10660
4242,10684
4242,10700
4242,10713
4242,10715
4242,10726
4242,10740
4242,12792
4242,12850
4242,13413
4242,14054
4242,14332
4242,14400
4242,14551
4242,14912
4242,15182
4242,15243
4242,15707
4242,16723
4242,16970
4242,17369
4242,21478
4243,7660
4243,7806
4243,7945
4243,7950
4243,7956
4243,9277
4243,9304
4243,9332
4243,9650
4243,9677
4243,10442
4243,10446
4243,10448
4243,10450
4243,10553
4243,10622
4243,10657
4243,10673
4243,10709
4243,10736
4243,12856
4243,14685
4243,16755
4243,16921
4244,7668
4244,8435
4244,9409
4244,9653
4244,9671
4244,9691
4244,9696
4244,9700
4244,9703
4244,9713
4244,9719
4244,9720
4244,9736
4244,9748
4244,9753
4244,10456
4244,10467
4244,10479
4244,10497
4244,10503
4244,10504
4244,10555
4244,10635
4244,10674
4244,12822
4244,12836
4244,14109
4244,14358
4244,14642
4244,15161
4244,16696
4244,21119
4244,21493
4245,7951
4245,8130
4245,8633
4245,8634
4245,8683
4245,8835
4245,9058
4245,9192
4245,9409
4245,9423
4245,9645
4245,9646
4245,9652
4245,9774
4245,10437
4245,10445
4245,10449
4245,10451
4245,10453
4245,10524
4245,10555
4245,10602
4245,10619
4245,10639
4245,10644
4245,10651
4245,10658
4245,10665
4245,10673
4245,10685
4245,10687
4245,10706
4245,12774
4245,12852
4245,14000
4245,14043
4245,14400
4245,14640
4245,14647
4245,15182
4245,17298
4245,18109
4245,18173
4245,19484
4246,9332
4246,9409
4247,8070
4248,7666
4248,7954
4248,8240
4248,8251
4248,9164
4248,9206
4248,9277
4248,9339
4248,9424
4248,9614
4248,9657
4248,9668
4248,9674
4248,9693
4248,10438
4248,10455
4248,10458
4248,10474
4248,10491
4248,10496
4248,10505
4248,10540
4248,10545
4248,10546
4248,10554
4248,10560
4248,10588
4248,10617
4248,10714
4248,12530
4248,12779
4248,12793
4248,12818
4248,12823
4248,12851
4248,14027
4248,14621
4248,14640
4248,14659
4248,15242
4248,15263
4248,16084
4248,16979
4248,17146
4248,18086
4248,22270
4249,7666
4249,8247
4249,8248
4249,8442
4249,8813
4249,8833
4249,8839
4249,8840
4249,8847
4249,8853
4249,8866
