src,dst
4225,1055
4226,1173
4227,626
4228,903
4229,668
4230,855
4231,675
4232,639
4233,14
4234,341
4235,144
4236,74
4237,1036
4238,588
4239,766
4240,1138
4241,1258
4242,477
4243,37
4244,1299
4245,1171
4246,1153
4247,174
4248,1341
4249,300
4250,228
4251,399
4252,296
4253,847
4254,1115
4255,494
4256,861
4257,730
4258,443
4259,315
4260,420
4261,1252
4262,858
4263,1245
4264,755
4265,962
4266,239
4267,636
4268,33
4269,531
4270,1221
4271,277
4272,747
4273,521
4274,1066
