src,dst
4225,1567
4225,1775
4225,1894
4225,1983
4226,1567
4226,1894
4226,1983
4227,1446
4227,1525
4227,1567
4227,1658
4227,1661
4227,1894
4227,1983
4228,1567
4228,1595
4228,1634
4228,1890
4228,1894
4228,1983
4229,1567
4229,1634
4229,1894
4229,1983
4230,1358
4230,1375
4230,1383
4230,1446
4230,1488
4230,1525
4230,1567
4230,1658
4230,1661
4230,1716
4230,1894
4230,1983
4232,1446
4232,1567
4232,1658
4232,1661
4232,1890
4232,1894
4232,1983
4233,1567
4233,1811
4233,1894
4233,1983
4234,1567
4234,1894
4234,1983
4235,1410
4235,1567
4235,1634
4235,1894
4235,1983
4237,1446
4237,1525
4237,1528
4237,1567
4237,1658
4237,1661
4237,1894
4237,1983
4238,1446
4238,1567
4238,1658
4238,1661
4238,1894
4238,1983
4239,1567
4239,1894
4239,1983
4240,1567
4240,1894
4240,1983
4241,1567
4241,1894
4241,1983
4242,1356
4242,1358
4242,1375
4242,1383
4242,1446
4242,1567
4242,1658
4242,1661
4242,1716
4242,1894
4242,1983
4243,1567
4243,1884
4243,1894
4243,1983
4244,1567
4244,1894
4244,1983
4245,1567
4245,1894
4245,1983
4246,1358
4246,1375
4246,1383
4246,1446
4246,1567
4246,1658
4246,1661
4246,1705
4246,1716
4246,1894
4246,1983
4247,1567
4247,1890
4247,1894
4247,1983
4248,1525
4248,1567
4248,1894
4248,1983
4249,1567
4249,1894
4249,1983
4250,1567
4250,1894
4250,1983
4250,2114
4251,1446
4251,1567
4251,1595
4251,1634
4251,1638
4251,1658
4251,1661
4251,1894
4251,1983
4251,2109
4252,1567
4252,1595
4252,1890
4252,1894
4252,1983
4253,1567
4253,1890
4253,1894
4253,1983
4254,1525
4254,1567
4254,1753
4254,1894
4254,1983
4255,1567
4255,1894
4255,1983
4256,1375
4256,1383
4256,1525
4256,1567
4256,1716
4256,1890
4256,1894
4256,1983
4257,1567
4257,1894
4257,1983
4258,1525
4258,1567
4258,1890
4258,1894
4258,1983
4259,1567
4259,1894
4259,1983
4260,1446
4260,1525
4260,1567
4260,1658
4260,1661
4260,1890
4260,1894
4260,1983
4261,1514
4261,1525
4261,1567
4261,1894
4261,1983
4262,1567
4262,1890
4262,1894
4262,1983
4263,1567
4263,1894
4263,1983
4264,1567
4264,1894
4264,1983
4265,1567
4265,1658
4265,1661
4265,1894
4265,1983
4266,1894
4266,1983
4267,1567
4267,1890
4267,1894
4267,1983
4268,1567
4268,1634
4268,1894
4268,1983
4269,1874
4269,1894
4269,1983
4270,1658
4270,1661
4270,1894
4270,1983
4271,1658
4271,1661
4271,1890
4271,1894
4271,1983
4272,1894
4272,1983
4273,1890
4273,1894
4273,1942
4273,1983
4274,1890
