src,dst
4225,6264
4225,6267
4225,6274
4225,6514
4225,6515
4225,6744
4225,7185
4225,7191
4226,4378
4226,4451
4226,4663
4226,5007
4226,5152
4226,5343
4226,5520
4226,5884
4226,6241
4226,6250
4226,6531
4226,6547
4226,6591
4226,6757
4226,6760
4226,7148
4226,7337
4226,7452
4226,7467
4226,7477
4226,7490
4226,7491
4226,7492
4226,7493
4227,4378
4227,4451
4227,5007
4227,5152
4227,5165
4227,5166
4227,5343
4227,5441
4227,5520
4227,5600
4227,5884
4227,6083
4227,6410
4227,6494
4227,6591
4227,6660
4227,6716
4227,7384
4227,7446
4228,4941
4228,5102
4228,5192
4228,5429
4228,5558
4228,5565
4228,5722
4228,5937
4228,5938
4228,6131
4228,6132
4228,6977
4229,7452
4230,5209
4230,5210
4230,5215
4230,5220
4230,5222
4230,5229
4230,5240
4230,5242
4230,5249
4230,5252
4230,5253
4230,5441
4230,5447
4230,5765
4230,5766
4230,5770
4230,5785
4230,5970
4230,6488
4230,6515
4230,6531
4230,6547
4230,6617
4230,6620
4230,6639
4230,6644
4230,6660
4230,6716
4230,6727
4230,6757
4230,6760
4230,6779
4230,6796
4230,6823
4230,6824
4230,6826
4230,6833
4230,6836
4230,6996
4230,6997
4230,7012
4230,7185
4230,7261
4230,7369
4230,7374
4230,7392
4230,7393
4230,7394
4230,7395
4230,7490
4230,7491
4230,7492
4230,7524
4232,6494
4232,6716
4233,7452
4234,5813
4234,5814
4234,5826
4234,5846
4234,5849
4234,5852
4234,5856
4234,5857
4234,6681
4234,6692
4234,7116
4234,7134
4234,7452
4234,7457
4234,7458
4235,4663
4235,4673
4235,5007
4235,5152
4235,5165
4235,5166
4235,5884
4235,6083
4235,7337
4237,5007
4237,5372
4237,5884
4237,6083
4237,6241
4237,6250
4237,6591
4237,7148
4237,7172
4237,7337
4237,7477
4238,4949
4238,4958
4238,4962
4238,5033
4238,5275
4238,5480
4238,5485
4238,5486
4238,5487
4238,5865
4238,5867
4238,5996
4238,6002
4238,6011
4238,6021
4238,6034
4238,6307
4238,6309
4238,6494
4238,6757
4238,6760
4238,6872
4238,7452
4238,7490
4238,7491
4238,7492
4241,5152
4241,5165
4241,5166
4241,5343
4241,5520
4241,5884
4241,6083
4241,7337
4242,5165
4242,5166
4242,5520
4242,5884
4242,6083
4242,6494
4242,6531
4242,6547
4242,6591
4242,6723
4242,6728
4242,6757
4242,6760
4242,6767
4242,7490
4242,7491
4242,7492
4243,4983
4243,4984
4243,4987
4243,5045
4243,5070
4243,5073
4243,5294
4243,5324
4243,5325
4243,5326
4243,5328
4243,5331
4243,5504
4243,5512
4243,5647
4243,5652
4243,6352
4243,6356
4243,6364
4243,6367
4243,6393
4243,6563
4243,6577
4243,7303
4243,7307
4243,7310
4243,7590
4243,7598
4244,5165
4244,5166
4244,5343
4244,5358
4244,5520
4244,6083
4244,6587
4244,6591
4245,6531
4245,6757
4245,6760
4245,7490
4245,7491
4245,7492
4246,5165
4246,5166
4246,5343
4246,5520
4246,5884
4246,6083
4246,7337
4251,5652
4251,5884
4251,5929
4251,5934
4251,5937
4251,5980
4251,5992
4251,6044
4251,6045
4251,6083
4251,6123
4251,6131
4251,6132
4251,6141
4251,6219
4251,6222
4251,6309
4251,6356
4251,6367
4251,6476
4251,6494
4251,6531
4251,6547
4251,6591
4251,6679
4251,6757
4251,6760
4251,6868
4251,6872
4251,6873
4251,6879
4251,7071
4251,7097
4251,7105
4251,7202
4251,7203
4251,7337
4251,7452
4251,7457
4251,7490
4251,7491
4251,7492
4251,7608
4251,7610
4252,5722
4252,5733
4252,5735
4252,5934
4252,5937
4252,6121
4252,6132
4252,6135
4252,6401
4252,6977
4254,6531
4254,6547
4254,6591
4254,6757
4254,6760
4254,6901
4254,7337
4254,7490
4254,7491
4254,7492
4255,6531
4255,7452
4255,7490
4255,7491
4255,7492
4256,5900
4256,5907
4256,6083
4256,6100
4256,6103
4256,6108
4256,6591
4256,6606
4256,6613
4256,6660
4256,6662
4256,6666
4256,6796
4256,6906
4256,6926
4256,6931
4256,6933
4256,6934
4256,6942
4256,6946
4256,6950
4256,6956
4256,6957
4256,6963
4256,6966
4256,7337
4256,7352
4256,7392
4256,7394
4256,7622
4257,6034
4257,6043
4257,6083
4257,6531
4257,6547
4257,6872
4257,6892
4257,7452
4257,7490
4257,7491
4257,7492
4258,6083
4258,6241
4258,6250
4258,6451
4258,6591
4258,6772
4258,7148
4258,7198
4258,7221
4258,7244
4258,7303
4258,7337
4258,7477
4258,7496
4258,7500
4258,7504
4258,7509
4258,7514
4258,7590
4260,6083
4260,6494
4260,6716
4260,7337
4261,6531
4261,6533
4261,7191
4261,7490
4261,7491
4261,7492
4263,6531
4263,6547
4263,6757
4263,6760
4263,7490
4263,7491
4263,7492
4264,6757
4264,6760
4264,7111
4265,6591
4265,6710
4265,6716
4265,6720
4265,7337
4266,7452
4268,6757
4268,6760
4268,7433
4268,7452
4269,7452
4271,7148
4271,7337
4271,7490
4271,7491
4271,7492
4272,7452
