src,dst
4225,2722
4225,2724
4225,2736
4226,3105
4226,3111
4227,2911
4227,2918
4227,2922
4227,2925
4227,2940
4229,3023
4229,3025
4230,2141
4231,3021
4231,3022
4231,3023
4231,3024
4231,3027
4232,2912
4232,2914
4232,2920
4232,2932
4235,2673
4235,2677
4235,2683
4235,2687
4237,2426
4237,2629
4237,2640
4237,2647
4238,2799
4238,2803
4238,2813
4243,2673
4243,2677
4243,2679
4243,2686
4244,3464
4244,3466
4244,3470
4244,3473
4244,3474
4245,3103
4245,3107
4247,2681
4248,2726
4248,3705
4248,3706
4248,3707
4249,3042
4249,3057
4249,3058
4249,3061
4249,3071
4250,3041
4250,3052
4250,3071
4252,3045
4252,3052
4252,3065
4253,2134
4253,2136
4254,2944
4255,2577
4255,2590
4255,2592
4255,2614
4255,2616
4256,2155
4256,2159
4256,2163
4257,2948
4257,3160
4257,3179
4258,3697
4258,3699
4260,2908
4260,2909
4261,3381
4263,3360
4263,3361
4263,3362
4263,3363
4264,3132
4264,3166
4264,3176
4265,2429
4265,2431
4267,2913
4267,2931
4267,2933
4267,2941
4268,2674
4271,3046
4271,3066
4272,3189
4272,3269
4273,2586
4273,2622
4274,2770
4274,2777
4274,2790
4274,2796
