src,dst
4275,4226
4276,4225
4277,4225
4278,4225
4279,4225
4280,4225
4281,4225
4282,4225
4283,4225
4284,4225
4285,4225
4286,4225
4287,4225
4288,4225
4289,4225
4290,4225
4291,4225
4292,4225
4293,4225
4294,4225
4295,4225
4296,4225
4297,4225
4298,4225
4299,4225
4300,4225
4301,4225
4302,4225
4303,4225
4304,4225
4305,4225
4306,4225
4307,4225
4308,4225
4309,4225
4310,4225
4311,4227
4312,4230
4313,4230
4314,4230
4315,4230
4316,4230
4317,4230
4318,4230
4319,4230
4320,4230
4321,4230
4322,4230
4323,4230
4324,4230
4325,4230
4326,4230
4327,4230
4328,4225
4329,4225
4330,4225
4331,4225
4332,4225
4333,4225
4334,4225
4335,4225
4336,4225
4337,4225
4338,4225
4339,4225
4340,4225
4341,4229
4342,4229
4343,4229
4344,4229
4345,4229
4346,4229
4347,4229
4348,4229
4349,4229
4350,4229
4351,4229
4352,4229
4353,4229
4354,4229
4355,4229
4356,4229
4357,4229
4358,4229
4359,4229
4360,4229
4361,4229
4362,4229
4363,4229
4364,4229
4365,4229
4366,4229
4367,4229
4368,4229
4369,4229
4370,4229
4371,4229
4372,4229
4373,4229
4374,4229
4375,4230
4376,4230
4377,4230
4378,4230
4379,4230
4380,4230
4381,4230
4382,4230
4383,4230
4384,4230
4385,4230
4386,4230
4387,4230
4388,4230
4389,4230
4390,4230
4391,4230
4392,4230
4393,4230
4394,4230
4395,4230
4396,4230
4397,4230
4398,4230
4399,4230
4400,4230
4401,4230
4402,4230
4403,4230
4404,4230
4405,4230
4406,4230
4407,4230
4408,4230
4409,4230
4410,4230
4411,4230
4412,4230
4413,4230
4414,4230
4415,4230
4416,4230
4417,4230
4418,4230
4419,4231
4420,4231
4421,4231
4422,4231
4423,4231
4424,4231
4425,4231
4426,4231
4427,4231
4428,4231
4429,4231
4430,4231
4431,4231
4432,4231
4433,4231
4434,4231
4435,4231
4436,4231
4437,4231
4438,4231
4439,4231
4440,4231
4441,4229
4442,4229
4443,4229
4444,4229
4445,4229
4446,4229
4447,4229
4448,4229
4449,4229
4450,4229
4451,4230
4452,4230
4453,4230
4454,4230
4455,4230
4456,4230
4457,4230
