src,dst
4275,3806
4276,3794
4277,3794
4278,3794
4279,3794
4280,3794
4281,3794
4282,3794
4283,3794
4284,3794
4285,3794
4286,3794
4287,3794
4288,3794
4289,3794
4290,3794
4291,3794
4292,3794
4293,3824
4294,3794
4295,3794
4296,3794
4297,3794
4298,3794
4299,3794
4300,3794
4301,3794
4302,3794
4303,3794
4304,3794
4305,3794
4306,3794
4307,3794
4308,3794
4309,3794
4310,3794
4311,3767
4312,3774
4313,3774
4314,3774
4315,3774
4316,3774
4317,3774
4318,3774
4319,3774
4320,3774
4321,3774
4322,3774
4323,3774
4324,3774
4325,3774
4326,3774
4327,3774
4328,3794
4329,3794
4330,3794
4331,3794
4332,3794
4333,3794
4334,3794
4335,3794
4336,3794
4337,3794
4338,3794
4339,3794
4340,3794
4341,3768
4342,3768
4343,3768
4344,3768
4345,3768
4346,3768
4347,3768
4348,3768
4349,3768
4350,3768
4351,3768
4352,3749
4353,3768
4354,3768
4355,3768
4356,3768
4357,3768
4358,3768
4359,3768
4360,3768
4361,3768
4362,3768
4363,3768
4364,3768
4365,3768
4366,3768
4367,3768
4368,3768
4369,3768
4370,3768
4371,3768
4372,3768
4373,3768
4374,3768
4375,3774
4376,3774
4377,3774
4378,3774
4379,3755
4380,3774
4381,3774
4382,3774
4383,3781
4384,3774
4385,3774
4386,3717
4387,3774
4388,3726
4389,3774
4390,3774
4391,3774
4392,3774
4393,3774
4394,3774
4395,3774
4396,3774
4397,3774
4398,3774
4399,3801
4400,3774
4401,3774
4402,3774
4403,3774
4404,3774
4405,3774
4406,3774
4407,3774
4408,3774
4409,3774
4410,3774
4411,3774
4412,3774
4413,3774
4414,3774
4415,3819
4416,3774
4417,3774
4418,3774
4419,3768
4420,3768
4421,3768
4422,3768
4423,3768
4424,3768
4425,3768
4426,3768
4427,3768
4428,3768
4429,3768
4430,3768
4431,3768
4432,3768
4433,3768
4434,3768
4435,3768
4436,3768
4437,3768
4438,3768
4439,3768
4440,3768
4441,3768
4442,3768
4443,3768
4444,3768
4445,3768
4446,3768
4447,3768
4448,3768
4449,3768
4450,3768
4451,3774
4452,3774
4453,3774
4454,3774
4455,3774
4456,3774
4457,3774
4458,3774
4459,3774
4460,3774
4461,3774
4462,3774
4463,3774
4464,3774
4465,3774
4466,3774
4467,3774
4468,3774
4469,3774
4470,3774
4471,3774
4472,3774
4473,3774
4474,3774
4475,3774
4476,3774
4477,3774
4478,3774
4479,3774
4480,3768
4481,3768
4482,3768
4483,3768
4484,3768
4485,3768
4486,3768
4487,3768
4488,3771
4489,3768
4490,3768
4491,3768
4492,3768
4493,3768
4494,3768
4495,3768
4496,3768
4497,3768
4498,3768
4499,3768
4500,3768
4501,3768
4502,3768
4503,3768
4504,3768
4505,3768
4506,3768
4507,3768
4508,3768
4509,3768
4510,3768
4511,3768
4512,3768
4513,3768
4514,3768
4515,3768
4516,3768
4517,3768
4518,3768
4519,3768
4520,3768
4521,3768
4522,3768
4523,3768
4524,3768
4525,3768
4526,3768
4527,3768
4528,3768
4529,3768
4530,3768
4531,3768
4532,3768
4533,3768
4534,3768
4535,3768
4536,3768
4537,3768
4538,3768
4539,3768
4540,3768
4541,3768
4542,3768
4543,3768
4544,3768
4545,3768
4546,3768
4547,3768
4548,3768
4549,3768
4550,3768
4551,3768
4552,3768
4553,3768
4554,3768
4555,3768
4556,3768
4557,3768
4558,3768
4559,3768
4560,3768
4561,3768
4562,3768
4563,3768
4564,3768
4565,3768
4566,3768
4567,3768
4568,3768
4569,3768
4570,3768
4571,3768
4572,3768
4573,3768
4574,3768
4575,3768
4576,3768
4577,3768
4578,3768
4579,3768
4580,3768
4581,3768
4582,3768
4583,3768
4584,3768
4585,3768
4586,3768
4587,3768
4588,3768
4589,3768
