src,dst
1345,8221
1345,9162
1345,12716
1345,12766
1345,16887
1345,19434
1345,19955
1347,9675
1347,12766
1347,14677
1347,18394
1347,19466
1347,19955
1349,9162
1349,10633
1349,12744
1349,12819
1349,13162
1349,16985
1349,19442
1349,19955
1349,21758
1351,9165
1351,9764
1351,12889
1351,16542
1351,16997
1356,8200
1356,8470
1356,9658
1356,9770
1356,18915
1357,15215
1357,16694
1357,16973
1357,19378
1357,19615
1358,12635
1358,13304
1358,16060
1358,16694
1358,17141
1360,9184
1360,9423
1360,15056
1360,15227
1360,23050
1361,19306
1361,19353
1366,9687
1366,12761
1366,14672
1366,16936
1366,17590
1366,22089
1367,10527
1367,13525
1367,13958
1367,19412
1369,7799
1369,7952
1369,10702
1369,12792
1369,18928
1370,8684
1370,8846
1370,9064
1370,9680
1370,10468
1370,10471
1370,10715
1370,12812
1370,14027
1370,16785
1371,7943
1371,13129
1374,9712
1374,9770
1374,10748
1374,13294
1375,7865
1375,9645
1375,9658
1375,9770
1375,15181
1376,8200
1376,8470
1376,9770
1376,13404
1376,16706
1376,16949
1383,10472
1383,12635
1383,12827
1383,16694
1383,19379
1383,19909
1384,8439
1384,12635
1384,16704
1384,19339
1384,19909
1388,9688
1388,9764
1388,10725
1388,12889
1388,15242
1391,10554
1391,16542
1391,16823
1391,16997
1391,19665
1395,8130
1395,8458
1395,9336
1395,10509
1395,10719
1395,19048
1396,8130
1396,8458
1396,9336
1396,15165
1396,15406
1400,9413
1400,9520
1400,9704
1400,10445
1400,12786
1400,14007
1400,17974
1400,22394
1401,10471
1401,12812
1401,12819
1401,14291
1401,15007
1401,16807
1401,19201
1401,19963
1401,21408
1408,19353
1408,22124
1410,8464
1410,13312
1410,13650
1410,14675
1410,19070
1412,8464
1412,12811
1412,13312
1412,14675
1412,19744
1412,20277
1415,9184
1415,10741
1415,19070
1415,20133
1415,22110
1420,8250
1420,8464
1420,13312
1420,13650
1420,14607
1420,15170
1420,19070
1423,9665
1423,14569
1426,10607
1426,14053
1426,14410
1426,19726
1427,10607
1427,13767
1427,15697
1429,8864
1429,10462
1429,13767
1429,15697
1431,8864
1431,10462
1431,13458
1431,13767
1431,14014
1435,10739
1435,13813
1435,18394
1435,18825
1435,19258
1435,20784
1440,8824
1440,14691
1440,17088
1440,19156
1440,20784
1445,7792
1445,15576
1445,22005
1446,14665
1446,15205
1449,8467
1449,8635
1449,9407
1449,10698
1449,15391
1449,20068
1455,15203
1460,7799
1460,10438
1460,10445
1460,10479
1460,10619
1460,14127
1460,19894
1464,7792
1464,19281
1465,15533
1469,7792
1469,12650
1469,16949
1469,21821
1470,15270
1471,8824
1471,18906
1474,8824
1474,16762
1476,8118
1476,14161
1478,20928
1479,16967
1479,20928
1482,7943
1482,15552
1484,8073
1484,8440
1484,8851
1484,12750
1484,16776
1484,23650
1485,8073
1485,8440
1485,9426
1485,10467
1485,10722
1485,12750
1485,23650
1486,7949
1486,9779
1486,10632
1488,8200
1488,9330
1488,9344
1488,10688
1488,12635
1488,12827
1488,15215
1488,16694
1488,16696
1498,8118
1498,8813
1498,10468
1498,12830
1498,16572
1502,8118
1502,10480
1502,10574
1502,10613
1502,10629
1502,12727
1502,12830
1509,8130
1509,8225
1509,15182
1509,15679
1514,8130
1514,12504
1514,16983
1514,21471
1517,8130
1517,8856
1517,12504
1517,16983
1517,20118
1522,7955
1522,8441
1522,12792
1522,13644
1522,14054
1522,17139
1522,19380
1522,21478
1523,7799
1523,10619
1523,12812
1523,13632
1523,14688
1525,9520
1525,9738
1525,10445
1525,12762
1525,12786
1525,14007
1525,17208
1525,22394
1525,22851
1528,12534
1528,12762
1528,12786
1528,16721
1528,18701
1528,19232
1528,21358
1528,22394
1530,9064
1530,9677
1530,14611
1530,16699
1530,19397
1531,14611
1531,14667
1531,16699
1531,18615
1533,8232
1533,9064
1533,9677
1533,9718
1533,10535
1533,16699
1535,16989
1535,19397
1535,20003
1535,21514
1537,14087
1537,16699
1537,18824
1554,8464
1554,13312
1554,13531
1554,16738
1554,19570
1555,9184
1555,9192
1555,10771
1555,14100
1555,16909
1555,19070
1555,21143
1562,7943
1562,9736
1562,10534
1562,10559
1562,21357
1564,8203
1565,8203
1565,12804
1567,18967
1568,12736
1568,18967
1569,8838
1573,8444
1573,9431
1573,10520
1573,10584
1573,15520
1574,9431
1574,10520
1574,12790
1574,14071
1574,15520
1574,19884
1577,7801
1577,8444
1577,8686
1577,9431
1577,9652
1577,10520
1580,8853
1584,9777
1586,14667
1589,8853
1589,10725
1590,9114
1591,9114
1591,10653
1595,8844
1595,9114
1596,9114
1596,21650
1603,9114
1603,20402
1603,21650
1604,7721
1604,9114
1604,16807
1611,8130
1611,9336
1611,16922
1611,19687
1614,8856
1614,9329
1614,10498
1614,12504
1614,16476
1615,9070
1615,9426
1615,10539
1615,12504
1615,14028
1615,19660
1615,20699
1616,7955
1616,8441
1616,8839
1616,10460
1616,10684
1616,12851
1616,16702
1616,19362
1616,21478
1617,7956
1617,8441
1617,10503
1617,10510
1617,10684
1617,12851
1617,13402
1617,15181
1617,16702
1617,19362
1617,21478
1621,9520
1621,12786
1621,14007
1621,16034
1621,17480
1621,19401
1621,22851
1622,9413
1622,9520
1622,9704
1622,10438
1622,10445
1622,10702
1622,14007
1622,15433
1622,17001
1622,17974
1622,22394
1630,8846
1630,9767
1630,10468
1630,10471
1630,12812
1630,12963
1630,14211
1630,15180
1630,18311
1630,21087
1631,10448
1631,15224
1634,9569
1637,9569
1637,19674
1638,10446
1638,10448
1648,10617
1649,12716
1656,8824
1656,12736
1658,19229
1660,14607
1660,14665
1661,14607
1661,14779
1668,9109
1668,10475
1668,14959
1668,19764
1670,7945
1670,9109
1670,10475
1670,14024
1670,14959
1672,18997
1681,7666
1681,8857
1683,7666
1683,8857
1683,10705
1687,7666
1687,8832
1687,8857
1692,9021
1692,9332
