src,dst
1343,3774
1344,3761
1345,3774
1346,3774
1347,3774
1348,3802
1349,3774
1350,3774
1351,3715
1352,3715
1353,3779
1354,3774
1355,3774
1356,3774
1357,3774
1358,3774
1359,3714
1360,3714
1361,3714
1362,3774
1363,3774
1364,3774
1365,3774
1366,3763
1367,3763
1368,3792
1369,3792
1370,3792
1371,3775
1372,3775
1373,3775
1374,3775
1375,3775
1376,3775
1377,3775
1378,3775
1379,3775
1380,3775
1381,3775
1382,3775
1383,3775
1384,3775
1385,3775
1386,3774
1387,3718
1388,3718
1389,3714
1390,3714
1391,3714
1392,3715
1393,3806
1394,3806
1395,3775
1396,3775
1397,3763
1398,3775
1399,3775
1400,3774
1401,3774
1402,3792
1403,3718
1404,3718
1405,3718
1406,3714
1407,3714
1408,3714
1409,3714
1410,3779
1411,3714
1412,3714
1413,3779
1414,3718
1415,3779
1416,3718
1417,3714
1418,3714
1419,3779
1420,3714
1421,3718
1422,3718
1423,3718
1424,3779
1425,3714
1426,3779
1427,3718
1428,3779
1429,3779
1430,3714
1431,3714
1432,3714
1433,3714
1434,3779
1435,3714
1436,3718
1437,3779
1438,3718
1439,3779
1440,3718
1441,3714
1442,3779
1443,3779
1444,3779
1445,3774
1446,3766
1447,3718
1448,3718
1449,3815
1450,3764
1451,3734
1452,3819
1453,3815
1454,3804
1455,3819
1456,3718
1457,3804
1458,3775
1459,3775
1460,3800
1461,3762
1462,3815
1463,3815
1464,3768
1465,3715
1466,3714
1467,3775
1468,3770
1469,3768
1470,3774
1471,3714
1472,3714
1473,3806
1474,3803
1475,3714
1476,3718
1477,3774
1478,3763
1479,3775
1480,3775
1481,3763
1482,3763
1483,3763
1484,3763
1485,3763
1486,3774
1487,3763
1488,3763
1489,3775
1490,3763
1491,3775
1492,3763
1493,3775
1494,3718
1495,3714
1496,3718
1497,3763
1498,3770
1499,3770
1500,3785
1501,3763
1502,3770
1503,3815
1504,3819
1505,3775
1506,3775
1507,3775
1508,3762
1509,3815
1510,3762
1511,3815
1512,3775
1513,3762
1514,3762
1515,3762
1516,3773
1517,3775
1518,3775
1519,3762
1520,3762
1521,3815
1522,3762
1523,3739
1524,3762
1525,3762
1526,3739
1527,3767
1528,3762
1529,3762
1530,3762
1531,3767
1532,3815
1533,3800
1534,3792
1535,3815
1536,3767
1537,3739
1538,3739
1539,3815
1540,3767
1541,3739
1542,3762
1543,3767
1544,3739
1545,3762
1546,3767
1547,3767
1548,3714
1549,3714
1550,3714
1551,3714
1552,3805
1553,3714
1554,3714
1555,3714
1556,3714
1557,3714
1558,3714
1559,3714
1560,3714
1561,3714
1562,3714
1563,3762
1564,3773
1565,3764
1566,3764
1567,3764
1568,3714
1569,3773
1570,3767
1571,3762
1572,3762
1573,3762
1574,3764
1575,3815
1576,3762
1577,3815
1578,3763
1579,3785
1580,3718
1581,3815
1582,3718
1583,3714
1584,3767
1585,3762
1586,3767
1587,3767
1588,3767
1589,3806
1590,3718
1591,3715
1592,3715
1593,3715
1594,3779
1595,3718
1596,3779
1597,3718
1598,3779
1599,3715
1600,3715
1601,3718
1602,3718
1603,3779
1604,3715
1605,3715
1606,3764
1607,3764
1608,3764
1609,3794
1610,3794
1611,3794
1612,3794
1613,3794
1614,3794
1615,3794
1616,3775
1617,3739
1618,3739
1619,3824
1620,3775
1621,3775
1622,3775
1623,3824
1624,3815
1625,3824
1626,3824
1627,3775
1628,3824
1629,3775
1630,3824
1631,3779
1632,3718
1633,3779
1634,3714
1635,3714
1636,3779
1637,3718
1638,3714
1639,3815
1640,3714
1641,3714
1642,3714
1643,3739
1644,3715
1645,3762
1646,3714
1647,3714
1648,3715
