src,dst
2133,3773
2134,3773
2135,3773
2136,3773
2137,3773
2138,3773
2139,3773
2140,3774
2141,3774
2142,3774
2143,3774
2144,3774
2145,3716
2146,3716
2147,3716
2148,3716
2149,3716
2150,3716
2151,3716
2152,3716
2153,3716
2154,3775
2155,3775
2156,3775
2157,3775
2158,3775
2159,3775
2160,3775
2161,3775
2162,3775
2163,3775
2164,3775
2165,3775
2166,3775
2167,3776
2168,3776
2169,3776
2170,3776
2171,3776
2172,3776
2173,3776
2174,3776
2175,3776
2176,3776
2177,3776
2178,3776
2179,3776
2180,3776
2181,3776
2182,3776
2183,3776
2184,3776
2185,3776
2186,3776
2187,3776
2188,3776
2189,3776
2190,3776
2191,3776
2192,3776
2193,3776
2194,3776
2195,3776
2196,3776
2197,3776
2198,3776
2199,3776
2200,3776
2201,3776
2202,3776
2203,3776
2204,3776
2205,3776
2206,3776
2207,3776
2208,3776
2209,3776
2210,3776
2211,3776
2212,3717
2213,3717
2214,3717
2215,3717
2216,3717
2217,3717
2218,3717
2219,3717
2220,3717
2221,3717
2222,3717
2223,3717
2224,3717
2225,3717
2226,3717
2227,3717
2228,3717
2229,3717
2230,3717
2231,3717
2232,3717
2233,3718
2234,3718
2235,3718
2236,3718
2237,3718
2238,3718
2239,3777
2240,3777
2241,3777
2242,3777
2243,3778
2244,3778
2245,3778
2246,3778
2247,3778
2248,3778
2249,3778
2250,3778
2251,3778
2252,3778
2253,3778
2254,3778
2255,3719
2256,3719
2257,3719
2258,3719
2259,3719
2260,3719
2261,3719
2262,3720
2263,3720
2264,3720
2265,3720
2266,3720
2267,3720
2268,3763
2269,3763
2270,3763
2271,3763
2272,3763
2273,3763
2274,3763
2275,3763
2276,3763
2277,3763
2278,3763
2279,3763
2280,3763
2281,3763
2282,3763
2283,3763
2284,3763
2285,3763
2286,3763
2287,3763
2288,3763
2289,3763
2290,3763
2291,3763
2292,3763
2293,3763
2294,3763
2295,3763
2296,3763
2297,3763
2298,3763
2299,3763
2300,3763
2301,3763
2302,3763
2303,3763
2304,3763
2305,3763
2306,3763
2307,3763
2308,3763
2309,3763
2310,3763
2311,3763
2312,3763
2313,3763
2314,3763
2315,3763
2316,3763
2317,3763
2318,3763
2319,3721
2320,3721
2321,3721
