src,dst
3714,3708
3715,3708
3716,3709
3717,3710
3718,3708
3719,3711
3720,3710
3721,3710
3722,3709
3723,3710
3724,3710
3725,3712
3726,3712
3727,3710
3728,3710
3729,3712
3730,3708
3731,3708
3732,3708
3733,3708
3734,3710
3735,3709
3736,3709
3737,3710
3738,3710
3739,3709
3740,3709
3741,3708
3742,3709
3743,3713
3744,3712
3745,3710
3746,3710
3747,3708
3748,3712
3749,3713
3750,3712
3751,3710
3752,3710
3753,3709
3754,3710
3755,3708
3756,3710
3757,3710
3758,3709
3759,3710
3760,3708
3761,3711
3762,3710
3763,3711
3764,3710
3765,3708
3766,3708
3767,3712
3768,3708
3769,3708
3770,3710
3771,3712
3772,3708
3773,3708
3774,3709
3775,3711
3776,3713
3777,3710
3778,3710
3779,3708
3780,3712
3781,3708
3782,3709
3783,3711
3784,3711
3785,3712
3786,3710
3787,3709
3788,3709
3789,3710
3790,3709
3791,3710
3792,3710
3793,3710
3794,3708
3795,3710
3796,3708
3797,3709
3798,3709
3799,3708
3800,3710
3801,3709
3802,3708
3803,3710
3804,3709
3805,3711
3806,3710
3807,3710
3808,3708
3809,3710
3810,3709
3811,3709
3812,3708
3813,3710
3814,3709
3815,3710
3816,3709
3817,3708
3818,3709
3819,3708
3820,3710
3821,3710
3822,3711
3823,3708
3824,3709
