src,dst
4225,26829
4226,28045
4227,27283
4228,24189
4229,27499
4230,23833
4231,27165
4232,27274
4233,25244
4235,25244
4236,25246
4237,25181
4238,26978
4239,29033
4240,27425
4242,24092
4243,25250
4244,28848
4245,28040
4246,27472
4247,25247
4248,30189
4249,24445
4250,24444
4253,23816
4254,27378
4255,25068
4258,30172
4259,24444
4260,27272
4262,23832
4263,28582
4264,28222
4265,24671
4266,24447
4268,25244
4269,26755
4270,28408
4271,24444
4272,28221
4273,25141
4274,26909
