src,dst
4275,8635
4275,9407
4275,16883
4275,20068
4275,21428
4311,9162
4311,10633
4311,12766
4311,12819
4311,14093
4311,19955
4311,21758
4815,7719
4815,8753
4815,12719
4815,14095
4815,17916
4816,9593
4816,9755
4816,12840
4816,19553
4816,22917
4867,8753
4867,10520
4867,10584
4867,15520
4868,8073
4868,8440
4868,12750
4868,19119
4868,20080
4941,7666
4976,8814
4976,9590
4976,10737
4976,12889
4976,16542
5016,9866
5016,10607
5016,14053
5016,18579
5017,9866
5017,10559
5017,14947
5017,16703
5017,18825
5017,19302
5017,20784
5108,9520
5108,9687
5108,13958
5108,17590
5108,22089
5109,8130
5109,8458
5109,9336
5109,19048
5110,8130
5110,9704
5110,12504
5111,9520
5111,10445
5111,12786
5111,14007
5111,22394
5111,22851
5258,7799
5258,8441
5258,15177
5258,18372
5440,7799
5440,10438
5440,10443
5440,10445
5440,10619
5440,10700
5494,7943
5495,8200
5495,8470
5495,9770
5495,12823
5496,8200
5496,9330
5496,12635
5496,12827
5496,15215
5496,16694
5576,9070
5576,10505
5576,12504
5576,16879
5576,19660
5576,20699
5577,9064
5577,14611
5577,16699
5578,8846
5578,9064
5578,10468
5578,10471
5578,12724
5578,12812
5578,16807
5578,18311
5578,19201
5579,9184
5579,9423
5579,15056
5579,19745
5580,8464
5580,9184
5580,10771
5580,19070
5580,21143
5743,8130
5743,8691
5743,9424
5743,10654
5744,7799
5744,7952
5744,10443
5744,12792
5956,7799
5956,10564
5956,14400
5977,7792
5977,9748
5977,12650
5994,9594
5994,14084
5994,14086
5994,15185
5994,19782
5994,20308
6154,7799
6154,7955
6154,8441
6154,8839
6154,10684
6154,12792
6154,21478
6223,7792
6256,8118
6256,14665
6396,8118
6409,8130
6409,9704
6409,10465
6409,15182
6440,8824
6582,8118
6582,10448
6582,10613
6582,10629
6582,12830
6680,19191
6885,8118
6980,7660
6980,10448
7108,7792
7108,7955
7109,19191
7110,19191
7111,8824
7225,8683
7225,9109
7225,10475
7225,10552
7237,7666
7288,12774
7289,12774
7290,9021
7290,10540
7290,13870
7290,16732
7291,8240
7331,7943
7331,9647
7331,13323
7367,7660
7433,19191
7434,19191
7435,19191
7436,19191
7437,19191
7438,19191
7439,19191
7440,19191
7441,19191
7442,19191
7443,19191
7444,19191
7445,19191
7446,19191
7447,8824
7448,8824
7449,8824
7450,8824
7451,8824
7452,17139
7453,17139
7577,12774
7578,12774
7579,12774
7580,12774
7581,12774
7582,12774
7583,12774
7584,8240
7585,8240
7586,8240
7587,8240
7588,7799
7589,7799
