src,dst
23741,23783
23742,23772
23743,23772
23744,23772
23745,23796
23746,23772
23747,23782
23748,23772
23749,23760
23750,23772
23751,23796
23752,23800
23753,23783
23754,23772
23755,23772
23756,23783
23757,23783
23758,23792
23759,23783
23760,23783
23761,23792
23762,23792
23763,23783
23764,23748
23765,23783
23766,23772
23767,23792
23768,23779
23769,23772
23770,23779
23771,23760
23772,23783
23773,23766
23774,23783
23775,23760
23776,23783
23777,23768
23778,23768
23779,23740
23780,23772
23781,23765
23782,23792
23783,23789
23784,23783
23785,23760
23786,23783
23787,23772
23788,23777
23789,23740
23790,23753
23791,23796
23792,23783
23793,23783
23794,23783
23795,23783
23796,23789
23797,23795
23798,23740
23799,23772
23800,23798
23801,23772
23802,23760
23803,23765
23804,23774
23805,23783
23806,23768
23807,23760
23808,23783
23809,23772
23810,23760
