src,dst
7660,23808
7661,23783
7662,23763
7663,23804
7664,23804
7665,23804
7666,23781
7667,23757
7668,23758
7669,23783
7670,23749
7671,23759
7672,23750
7673,23750
7674,23750
7675,23808
7676,23750
7677,23750
7678,23750
7679,23750
7680,23750
7681,23750
7682,23749
7683,23755
7684,23767
7685,23749
7686,23783
7687,23750
7688,23750
7689,23750
7690,23750
7691,23750
7692,23744
7693,23808
7694,23750
7695,23750
7696,23750
7697,23750
7698,23808
7699,23755
7700,23755
7701,23749
7702,23767
7703,23750
7704,23750
7705,23750
7706,23749
7707,23750
7708,23750
7709,23750
7710,23749
7711,23755
7712,23750
7713,23750
7714,23750
7715,23759
7716,23750
7717,23750
7718,23808
7719,23783
7720,23750
7721,23808
7722,23750
7723,23808
7724,23771
7725,23767
7726,23743
7727,23783
7728,23750
7729,23808
7730,23750
7731,23783
7732,23783
7733,23743
7734,23808
7735,23744
7736,23744
7737,23808
7738,23750
7739,23767
7740,23783
7741,23750
7742,23743
7743,23783
7744,23767
7745,23750
7746,23750
7747,23783
7748,23750
7749,23767
7750,23767
7751,23780
7752,23783
7753,23750
7754,23771
7755,23750
7756,23750
7757,23750
7758,23783
7759,23743
7760,23783
7761,23750
7762,23743
7763,23767
7764,23783
7765,23783
7766,23783
7767,23783
7768,23750
7769,23750
7770,23783
7771,23758
7772,23808
7773,23808
7774,23783
7775,23750
7776,23743
7777,23783
7778,23771
7779,23757
7780,23808
7781,23750
7782,23761
7783,23743
7784,23750
7785,23808
7786,23801
7787,23760
7788,23750
7789,23808
7790,23808
7791,23808
7792,23783
7793,23808
7794,23750
7795,23743
7796,23750
7797,23783
7798,23749
7799,23783
7800,23808
7801,23783
7802,23783
7803,23783
7804,23804
7805,23804
7806,23783
7807,23804
7808,23783
7809,23804
7810,23783
7811,23750
7812,23804
7813,23783
7814,23783
7815,23783
7816,23757
7817,23783
7818,23783
7819,23804
7820,23804
7821,23750
7822,23804
7823,23804
7824,23744
7825,23750
7826,23750
7827,23783
7828,23804
7829,23783
7830,23804
7831,23744
7832,23750
7833,23804
7834,23793
7835,23804
7836,23804
7837,23783
7838,23750
7839,23744
7840,23767
7841,23804
7842,23757
7843,23804
7844,23750
7845,23783
7846,23750
7847,23786
7848,23804
7849,23744
7850,23783
7851,23783
7852,23793
7853,23783
7854,23783
7855,23808
7856,23750
7857,23750
7858,23792
7859,23808
7860,23750
7861,23783
7862,23750
7863,23750
7864,23741
7865,23804
7866,23804
7867,23783
7868,23750
7869,23804
7870,23750
7871,23750
7872,23783
7873,23750
7874,23767
7875,23804
7876,23787
7877,23744
7878,23767
7879,23783
7880,23750
7881,23804
7882,23804
7883,23762
7884,23744
7885,23741
7886,23757
7887,23792
7888,23801
7889,23750
7890,23758
7891,23750
7892,23750
7893,23750
7894,23750
7895,23783
7896,23767
7897,23750
7898,23804
7899,23804
7900,23750
7901,23783
7902,23758
7903,23808
7904,23750
7905,23750
7906,23755
7907,23808
7908,23755
7909,23750
7910,23755
7911,23750
7912,23804
7913,23767
7914,23749
7915,23767
7916,23767
7917,23783
7918,23755
7919,23783
7920,23804
7921,23783
7922,23750
7923,23759
7924,23750
7925,23750
7926,23758
7927,23755
7928,23750
7929,23763
7930,23783
7931,23750
7932,23755
7933,23808
7934,23767
7935,23804
7936,23750
7937,23767
7938,23767
7939,23767
7940,23808
7941,23767
