src,dst
23811,846
23812,840
23813,843
23814,841
23815,661
23816,845
23817,842
23818,844
23819,844
23820,848
23821,844
23822,847
23823,844
23824,842
23825,844
23826,844
23827,844
23828,844
23829,844
23830,848
23831,854
23832,849
23833,852
23834,849
23835,850
23836,849
23837,858
23838,856
23839,397
23840,863
23841,861
23842,862
23843,867
23844,866
23845,868
23846,861
23847,861
23848,868
23849,860
23850,860
23851,861
23852,861
23853,861
23854,861
23855,716
23856,864
23857,865
23858,865
23859,864
23860,860
23861,861
23862,861
23863,861
23864,861
23865,861
23866,861
23867,859
23868,859
23869,859
23870,867
23871,873
23872,873
23873,874
23874,874
23875,875
23876,876
23877,871
23878,872
23879,872
23880,870
23881,870
23882,870
23883,870
23884,870
23885,876
23886,876
23887,876
23888,876
23889,876
23890,876
23891,871
23892,871
23893,872
23894,872
23895,869
23896,870
23897,870
23898,870
23899,870
23900,870
23901,870
23902,870
23903,875
23904,875
23905,875
23906,875
23907,875
23908,875
23909,875
23910,875
23911,875
23912,878
23913,873
23914,878
23915,878
23916,875
23917,875
23918,875
23919,875
23920,875
23921,875
23922,870
23923,876
23924,876
23925,876
23926,876
23927,876
23928,876
23929,876
23930,876
23931,876
23932,871
23933,871
23934,871
23935,872
23936,872
23937,872
23938,869
23939,869
23940,870
23941,870
23942,870
23943,870
23944,870
23945,870
23946,870
23947,870
23948,870
23949,870
23950,870
23951,873
23952,873
23953,873
23954,873
23955,873
23956,877
23957,877
23958,870
23959,872
23960,873
23961,873
23962,873
23963,873
23964,873
23965,874
23966,877
23967,870
23968,873
23969,872
23970,872
23971,878
23972,875
23973,875
23974,875
23975,875
23976,875
23977,870
23978,876
23979,876
23980,876
23981,876
23982,876
23983,871
23984,871
23985,871
23986,872
23987,870
23988,870
23989,870
23990,870
23991,870
23992,873
23993,873
23994,873
23995,873
23996,873
23997,874
23998,874
23999,874
24000,891
24001,398
24002,398
24003,398
24004,398
24005,398
24006,398
24007,398
24008,398
24009,398
24010,398
24011,398
24012,398
24013,398
24014,398
24015,398
24016,399
24017,399
24018,399
24019,399
24020,399
24021,399
24022,399
24023,399
24024,399
24025,399
24026,399
24027,399
24028,399
24029,399
24030,399
24031,399
24032,399
24033,399
24034,399
24035,399
24036,885
24037,879
24038,885
24039,885
24040,887
24041,882
24042,885
24043,898
24044,898
24045,898
24046,898
24047,890
24048,889
24049,892
24050,894
24051,896
24052,897
24053,898
24054,898
24055,898
24056,891
24057,890
24058,895
24059,893
24060,897
24061,1184
24062,893
24063,1183
24064,1177
24065,898
24066,898
24067,890
24068,890
24069,898
24070,898
24071,898
24072,893
24073,400
24074,1322
24075,401
24076,401
24077,401
24078,401
24079,401
24080,401
24081,401
24082,401
24083,401
24084,401
24085,481
24086,481
24087,448
24088,472
24089,460
24090,460
24091,473
24092,448
24093,448
24094,448
24095,448
24096,453
24097,480
24098,475
24099,446
24100,470
24101,449
24102,471
24103,467
24104,448
24105,464
24106,445
24107,447
24108,457
24109,477
24110,474
24111,463
24112,456
24113,452
24114,459
24115,479
24116,452
24117,476
24118,465
24119,444
24120,462
24121,477
24122,469
24123,466
24124,455
24125,483
24126,471
24127,471
24128,471
24129,450
24130,458
24131,448
24132,472
24133,472
24134,468
24135,473
24136,468
24137,448
24138,448
24139,480
24140,475
24141,475
24142,475
24143,471
24144,471
24145,462
24146,477
24147,455
24148,448
24149,461
24150,451
24151,475
24152,454
24153,473
24154,473
24155,473
24156,448
24157,455
24158,482
24159,471
24160,467
24161,467
24162,467
24163,471
24164,471
24165,471
24166,482
24167,454
24168,471
24169,471
24170,451
24171,461
24172,453
24173,477
24174,478
24175,478
24176,471
24177,471
24178,734
24179,757
24180,402
24181,402
24182,402
24183,402
24184,402
24185,737
24186,402
24187,402
24188,402
24189,908
24190,905
24191,905
24192,903
24193,906
24194,907
24195,900
24196,899
24197,901
24198,907
24199,905
24200,905
24201,902
24202,904
24203,903
24204,905
24205,926
24206,926
24207,926
24208,926
24209,926
24210,926
24211,926
24212,926
24213,926
24214,926
24215,925
24216,934
24217,932
24218,916
24219,914
24220,914
24221,914
24222,912
24223,912
24224,915
24225,918
24226,918
24227,918
24228,918
24229,909
24230,909
24231,909
24232,915
24233,913
24234,913
24235,913
24236,913
24237,913
24238,913
24239,912
24240,909
24241,909
24242,917
24243,916
24244,917
24245,917
24246,917
24247,870
24248,917
24249,917
24250,917
24251,917
24252,917
24253,917
24254,917
24255,911
24256,911
24257,911
24258,911
24259,909
24260,918
24261,918
24262,918
24263,918
24264,918
24265,918
24266,918
24267,918
24268,918
24269,918
24270,918
24271,918
24272,918
24273,909
24274,909
24275,909
24276,909
24277,909
24278,909
24279,909
24280,909
24281,909
24282,909
24283,909
24284,909
24285,909
24286,909
24287,915
24288,913
24289,913
24290,912
24291,916
24292,916
24293,916
24294,914
24295,914
24296,914
24297,914
